trade_date,open,high,low,close,volume,amount,turnover,pct_change,adjust
2024-04-02,50.000,58.100,48.100,51.880,289910,,,,hfq
2024-04-03,52.050,55.050,48.000,50.440,223389,,,-2.7756,hfq
2024-04-08,48.970,50.880,46.060,46.970,172966,,,-6.8795,hfq
2024-04-09,46.830,47.700,45.120,47.500,124219,,,1.1284,hfq
2024-04-10,47.740,48.480,43.800,44.200,145811,,,-6.9474,hfq
2024-04-11,45.100,48.400,44.440,45.800,143750,,,3.6199,hfq
2024-04-12,46.000,50.380,46.000,50.380,152943,,,10.0000,hfq
2024-04-15,55.420,55.420,50.800,51.870,221919,,,2.9575,hfq
2024-04-16,52.800,55.680,50.480,53.650,180051,,,3.4317,hfq
2024-04-17,56.110,57.930,52.530,55.000,195093,,,2.5163,hfq
2024-04-18,53.000,53.950,50.940,51.740,161470,,,-5.9273,hfq
2024-04-19,51.740,52.080,47.430,48.500,154965,,,-6.2621,hfq
2024-04-22,46.000,48.040,44.700,46.830,101123,,,-3.4433,hfq
2024-04-23,47.100,48.500,46.530,47.010,78344,,,0.3844,hfq
2024-04-24,48.000,51.710,46.800,51.710,108059,,,9.9979,hfq
2024-04-25,50.010,51.800,49.900,50.390,95888,,,-2.5527,hfq
2024-04-26,51.780,52.700,50.880,51.200,124152,,,1.6075,hfq
2024-04-29,51.960,53.760,50.910,51.690,94911,,,0.9570,hfq
2024-04-30,52.020,53.250,51.500,51.680,76587,,,-0.0193,hfq
2024-05-06,52.500,52.800,50.670,51.890,75178,,,0.4063,hfq
2024-05-07,52.500,52.810,50.260,50.960,89932,,,-1.7923,hfq
2024-05-08,50.200,51.370,48.910,49.710,73036,,,-2.4529,hfq
2024-05-09,49.690,50.200,49.180,49.830,57350,,,0.2414,hfq
2024-05-10,49.780,49.840,47.730,47.800,61922,,,-4.0739,hfq
2024-05-13,47.380,48.120,47.130,47.700,38780,,,-0.2092,hfq
2024-05-14,48.080,49.470,47.480,49.200,62512,,,3.1447,hfq
2024-05-15,49.000,49.790,47.890,48.450,61065,,,-1.5244,hfq
2024-05-16,51.390,51.990,48.960,49.060,77099,,,1.2590,hfq
2024-05-17,48.600,49.500,47.390,49.460,61943,,,0.8153,hfq
2024-05-20,48.520,49.480,48.350,48.730,49338,,,-1.4759,hfq
2024-05-21,48.410,49.360,48.390,49.130,44918,,,0.8208,hfq
2024-05-22,48.960,49.290,47.650,48.910,49987,,,-0.4478,hfq
2024-05-23,49.390,51.000,48.660,49.200,84169,,,0.5929,hfq
2024-05-24,48.710,49.440,45.560,45.860,83608,,,-6.7886,hfq
2024-05-27,46.860,46.970,45.610,46.630,43140,,,1.6790,hfq
2024-05-28,46.050,46.780,45.710,46.170,36331,,,-0.9865,hfq
