stock_code,name,exchange,board,industry,listing_date,first_bar,last_bar,rows
600519,贵州茅台,SSE,主板,白酒,2001-08-27,2001-08-27,2026-09-18,6008
000001,平安银行,SZSE,主板,银行,1991-01-02,1991-01-02,2026-09-18,8538
300750,宁德时代,SZSE,创业板,电池,2018-06-11,2018-06-11,2026-09-18,2011
688981,中芯国际,SSE,科创板,半导体,2020-07-16,2020-07-16,2026-09-18,1495
600036,招商银行,SSE,主板,银行,2002-04-09,2002-04-09,2026-09-18,5865
000858,五 粮 液,SZSE,主板,白酒,1998-04-27,1998-04-27,2026-09-18,6752
601318,中国平安,SSE,主板,保险,2007-03-01,2007-03-01,2026-09-18,4690
002594,比亚迪,SZSE,主板,汽车整车,2011-06-30,2011-06-30,2026-09-18,3688
600000,浦发银行,SSE,主板,银行,1999-11-10,1999-11-10,2026-09-18,6393
601899,紫金矿业,SSE,主板,小金属,2008-04-25,2008-04-25,2026-09-18,4430
300059,东方财富,SZSE,创业板,证券,2010-03-19,2010-03-19,2026-09-18,3946
600030,中信证券,SSE,主板,证券,2003-01-06,2003-01-06,2026-09-18,5659
601012,隆基绿能,SSE,主板,光伏设备,2012-04-11,2012-04-11,2026-09-18,3471
000333,美的集团,SZSE,主板,白色家电,2013-09-18,2013-09-18,2026-09-18,3099
600276,恒瑞医药,SSE,主板,化学制药,2000-10-18,2000-10-18,2026-09-18,6243
601888,中国中免,SSE,主板,旅游零售,2009-10-15,2009-10-15,2026-09-18,4050
002415,海康威视,SZSE,主板,安防设备,2010-05-28,2010-05-28,2026-09-18,3909
600887,伊利股份,SSE,主板,乳品,1996-03-12,1996-03-12,2026-09-18,7301
601166,兴业银行,SSE,主板,银行,2007-02-05,2007-02-05,2026-09-18,4745
000651,格力电器,SZSE,主板,白色家电,1996-11-18,1996-11-18,2026-09-18,7014
