ts_code,symbol,name,area,industry,list_date,delist_date,list_status,exchange,market
920298.BJ,920298,腾信精密,广东,机械基件,20260916,,L,BSE,北交所
601091.SH,601091,C沈鼓,辽宁,机械基件,20260917,,L,SSE,主板
920268.BJ,920268,百迈科,海南,医疗保健,20260909,,L,BSE,北交所
688837.SH,688837,C信诺维,江苏,生物制药,20260916,,L,SSE,科创板
688801.SH,688801,燧原科技,上海,半导体,20260911,,L,SSE,科创板
920269.BJ,920269,杰锋动力,安徽,汽车配件,20260907,,L,BSE,北交所
920289.BJ,920289,华汇智能,广东,专用机械,20260904,,L,BSE,北交所
301689.SZ,301689,电科思仪,山东,电器仪表,20260910,,L,SZSE,创业板
920071.BJ,920071,金钛股份,辽宁,小金属,20260903,,L,BSE,北交所
603448.SH,603448,天博智能,山东,汽车配件,20260907,,L,SSE,主板
301699.SZ,301699,洛轴股份,河南,机械基件,20260909,,L,SZSE,创业板
920288.BJ,920288,华大海天,浙江,造纸,20260828,,L,BSE,北交所
601123.SH,601123,马矿股份,福建,普钢,20260901,,L,SSE,主板
920093.BJ,920093,信胜科技,浙江,纺织机械,20260821,,L,BSE,北交所
301697.SZ,301697,贝特利,江苏,化工原料,20260901,,L,SZSE,创业板
920059.BJ,920059,双英集团,广西,汽车配件,20260819,,L,BSE,北交所
688835.SH,688835,高凯技术,江苏,专用机械,20260825,,L,SSE,科创板
301688.SZ,301688,格林生物,浙江,化工原料,20260902,,L,SZSE,创业板
920107.BJ,920107,恒兴股份,湖南,染料涂料,20260817,,L,BSE,北交所
920138.BJ,920138,杰理科技,广东,软件服务,20260812,,L,BSE,北交所
688836.SH,688836,宇树科技,浙江,专用机械,20260819,,L,SSE,科创板
301655.SZ,301655,绿控传动,江苏,汽车配件,20260820,,L,SZSE,创业板
688826.SH,688826,频准激光,上海,元器件,20260818,,L,SSE,科创板
920165.BJ,920165,珈凯生物,上海,日用化工,20260811,,L,BSE,北交所
920038.BJ,920038,森合高科,广西,化工原料,20260805,,L,BSE,北交所
688828.SH,688828,国仪公司,安徽,电器仪表,20260811,,L,SSE,科创板
301717.SZ,301717,超纯应材,四川,半导体,20260811,,L,SZSE,创业板
920258.BJ,920258,聚仁新材,湖南,化工原料,20260803,,L,BSE,北交所
920065.BJ,920065,千岸科技,深圳,互联网,20260729,,L,BSE,北交所
301707.SZ,301707,展芯股份,江苏,元器件,20260807,,L,SZSE,创业板
603468.SH,603468,津富士达,天津,摩托车,20260806,,L,SSE,主板
001232.SZ,001232,嘉立创,深圳,元器件,20260804,,L,SZSE,主板
920238.BJ,920238,长鹰硬科,江苏,机械基件,20260724,,L,BSE,北交所
301677.SZ,301677,欣兴工具,浙江,机械基件,20260730,,L,SZSE,创业板
920176.BJ,920176,维琪科技,深圳,化工原料,20260727,,L,BSE,北交所
688825.SH,688825,长鑫科技,安徽,半导体,20260727,,L,SSE,科创板
920079.BJ,920079,乔路铭,浙江,汽车配件,20260722,,L,BSE,北交所
920117.BJ,920117,龙鑫智能,江苏,专用机械,20260716,,L,BSE,北交所
688806.SH,688806,泰诺麦博,广东,生物制药,20260721,,L,SSE,科创板
920081.BJ,920081,欧伦电气,浙江,家用电器,20260710,,L,BSE,北交所
920189.BJ,920189,康美特,北京,化工原料,20260708,,L,BSE,北交所
920136.BJ,920136,永励精密,浙江,汽车配件,20260709,,L,BSE,北交所
301583.SZ,301583,托伦斯,江苏,机械基件,20260710,,L,SZSE,创业板
920222.BJ,920222,益坤电气,浙江,电气设备,20260630,,L,BSE,北交所
920193.BJ,920193,吉和昌,湖北,化工原料,20260702,,L,BSE,北交所
001248.SZ,001248,华润新能源,深圳,新型电力,20260702,,L,SZSE,主板
920072.BJ,920072,科莱瑞迪,广东,医疗保健,20260629,,L,BSE,北交所
001399.SZ,001399,惠科股份,深圳,元器件,20260626,,L,SZSE,主板
688797.SH,688797,臻宝科技,重庆,半导体,20260624,,L,SSE,科创板
920220.BJ,920220,朗信电气,江苏,汽车配件,20260522,,L,BSE,北交所
920218.BJ,920218,新天力,浙江,塑料,20260529,,L,BSE,北交所
920211.BJ,920211,新睿电子,浙江,专用机械,20260605,,L,BSE,北交所
920206.BJ,920206,彩客科技,河北,染料涂料,20260608,,L,BSE,北交所
920200.BJ,920200,振宏股份,江苏,电气设备,20260507,,L,BSE,北交所
920191.BJ,920191,瑞尔竞达,安徽,其他建材,20260420,,L,BSE,北交所
920188.BJ,920188,悦龙科技,山东,橡胶,20260330,,L,BSE,北交所
920187.BJ,920187,通领科技,上海,汽车配件,20260305,,L,BSE,北交所
920186.BJ,920186,中科仪,辽宁,机械基件,20260429,,L,BSE,北交所
920183.BJ,920183,海菲曼,江苏,IT设备,20260304,,L,BSE,北交所
920181.BJ,920181,赛英电子,江苏,元器件,20260410,,L,BSE,北交所
920180.BJ,920180,爱得科技,江苏,医疗保健,20260210,,L,BSE,北交所
920178.BJ,920178,锐翔智能,广东,专用机械,20260515,,L,BSE,北交所
920177.BJ,920177,恒道科技,浙江,专用机械,20260416,,L,BSE,北交所
920168.BJ,920168,通宝光电,江苏,汽车配件,20260226,,L,BSE,北交所
920166.BJ,920166,海圣医疗,浙江,医疗保健,20260212,,L,BSE,北交所
920161.BJ,920161,龙辰科技,湖北,元器件,20260527,,L,BSE,北交所
920159.BJ,920159,农大科技,山东,农药化肥,20260128,,L,BSE,北交所
920156.BJ,920156,海昌智能,河南,专用机械,20260427,,L,BSE,北交所
920126.BJ,920126,永大股份,江苏,专用机械,20260615,,L,BSE,北交所
920125.BJ,920125,鸿仕达,江苏,专用机械,20260424,,L,BSE,北交所
