model,factor_id,engine,n,mean,std,min,max,unique_ratio,is_constant,rule_score_mean,rule_score_std
ipo_approx_v1,B_DAY_001,bazi,500,0.0796,0.8002,-1.0000,1.0000,0.0100,False,7.2600,3.4578
ipo_approx_v1,B_DAY_002,bazi,500,0.1350,0.2372,0.0000,1.0000,0.0060,False,1.3500,2.3722
ipo_approx_v1,B_DAY_003,bazi,500,0.5970,0.1977,0.5000,1.0000,0.0040,False,5.9700,1.9771
ipo_approx_v1,B_DAY_004,bazi,500,0.0796,0.8002,-1.0000,1.0000,0.0100,False,7.2600,3.4578
ipo_approx_v1,B_DAY_005,bazi,500,0.5038,0.3249,0.0000,1.0000,0.0200,False,5.0000,0.0000
ipo_approx_v1,B_DAY_006,bazi,500,-0.0400,0.8429,-1.0000,1.0000,0.0060,False,7.1200,4.5283
ipo_approx_v1,B_DAY_007,bazi,500,0.7080,0.2464,0.5000,1.0000,0.0040,False,7.0800,2.4645
ipo_approx_v1,B_DAY_008,bazi,500,0.0960,0.2092,0.0000,1.0000,0.0060,False,0.9600,2.0925
ipo_approx_v1,B_MONTH_001,bazi,500,-0.1224,0.7845,-1.0000,1.0000,0.0100,False,7.2080,3.3294
ipo_approx_v1,B_MONTH_002,bazi,500,0.0796,0.8002,-1.0000,1.0000,0.0100,False,7.2600,3.4578
ipo_approx_v1,B_MONTH_003,bazi,500,0.9440,0.2299,0.0000,1.0000,0.0040,False,9.4400,2.2992
ipo_approx_v1,B_MONTH_004,bazi,500,0.7280,0.4450,0.0000,1.0000,0.0040,False,7.2800,4.4499
ipo_approx_v1,B_MONTH_005,bazi,500,0.8040,0.3970,0.0000,1.0000,0.0040,False,8.0400,3.9697
ipo_approx_v1,B_MONTH_006,bazi,500,0.0360,0.1863,0.0000,1.0000,0.0040,False,0.3600,1.8629
ipo_approx_v1,B_MONTH_007,bazi,500,0.5970,0.1977,0.5000,1.0000,0.0040,False,5.9700,1.9771
ipo_approx_v1,B_MONTH_008,bazi,500,0.1350,0.2372,0.0000,1.0000,0.0060,False,1.3500,2.3722
ipo_approx_v1,B_MONTH_009,bazi,500,0.7080,0.2464,0.5000,1.0000,0.0040,False,7.0800,2.4645
ipo_approx_v1,B_MONTH_010,bazi,500,0.0960,0.2092,0.0000,1.0000,0.0060,False,0.9600,2.0925
ipo_approx_v1,B_MONTH_011,bazi,500,0.5082,0.3125,0.0000,1.0000,0.0200,False,5.0000,0.0000
ipo_approx_v1,B_MONTH_012,bazi,500,-0.0400,0.8429,-1.0000,1.0000,0.0060,False,7.1200,4.5283
ipo_approx_v1,B_NATAL_001,bazi,500,-0.1900,0.6848,-1.0000,1.0000,0.0100,False,5.8600,4.0200
ipo_approx_v1,B_NATAL_002,bazi,500,0.6190,0.2895,0.0000,1.0000,0.0100,False,6.1900,2.8955
ipo_approx_v1,B_NATAL_003,bazi,500,0.5040,0.5000,0.0000,1.0000,0.0040,False,5.0400,4.9998
ipo_approx_v1,B_NATAL_004,bazi,500,0.1820,0.3858,0.0000,1.0000,0.0040,False,1.8200,3.8584
ipo_approx_v1,B_NATAL_005,bazi,500,0.6275,0.2532,0.0000,1.0000,0.0100,False,6.2750,2.5322
ipo_approx_v1,B_NATAL_006,bazi,500,0.6405,0.2853,0.0000,1.0000,0.0100,False,6.4050,2.8528
ipo_approx_v1,B_NATAL_007,bazi,500,0.6440,0.2762,0.0000,1.0000,0.0100,False,6.4400,2.7616
ipo_approx_v1,B_NATAL_008,bazi,500,0.6280,0.2817,0.0000,1.0000,0.0100,False,6.2800,2.8172
