engine,birth_model,factor_id,partition,year,market_phase,sample_count,available_count,null_count,null_rate,activation_rate,raw_direction_positive,raw_direction_neutral,raw_direction_negative,mean_normalized,std_normalized,p25_normalized,p50_normalized,p75_normalized,p95_normalized,mean_rule_score,std_rule_score,unique_value_count,dominant_share,calibrated_positive,calibrated_neutral,calibrated_negative,mean_rank_score,calibration_status,flags
bazi,ipo_approx_v1,B_DAY_001,OOS,2023,2022_2026,483,483,0,0.0,0.834369,141,80,262,-0.286957,0.802729,-1.0,-0.8,0.6,1.0,7.681159,3.68323,5,0.467909,79,404,0,37.927325,"{""ok"": 483}",
bazi,ipo_approx_v1,B_DAY_001,OOS,2024,2022_2026,490,490,0,0.0,0.867347,260,65,165,0.108163,0.787306,-0.8,0.6,0.6,1.0,7.228571,3.286086,5,0.287755,119,371,0,52.495126,"{""ok"": 490}",
bazi,ipo_approx_v1,B_DAY_001,OOS,2025,2022_2026,493,493,0,0.0,0.858012,259,70,164,0.075456,0.801616,-1.0,0.6,0.6,1.0,7.269777,3.445605,5,0.310345,106,387,0,49.876771,"{""ok"": 493}",
bazi,ipo_approx_v1,B_DAY_001,OOS,2026,2022_2026,997,997,0,0.0,0.860582,525,139,333,0.091474,0.793534,-0.8,0.6,0.6,1.0,7.233701,3.380571,5,0.297894,228,769,0,51.157906,"{""ok"": 997}",
bazi,ipo_approx_v1,B_DAY_001,TRAIN,2010,2010_2014,291,291,0,0.0,0.838488,151,47,93,0.079725,0.787117,-1.0,0.6,0.6,1.0,7.051546,3.563332,5,0.316151,59,232,0,49.757165,"{""ok"": 291}",
bazi,ipo_approx_v1,B_DAY_001,TRAIN,2011,2010_2014,326,326,0,0.0,0.865031,140,44,142,-0.106135,0.786438,-1.0,0.0,0.6,1.0,7.196319,3.321462,5,0.322086,40,286,0,43.677252,"{""ok"": 326}",
bazi,ipo_approx_v1,B_DAY_001,TRAIN,2012,2010_2014,353,353,0,0.0,0.832861,177,59,117,0.05779,0.792904,-1.0,0.6,0.6,1.0,7.070822,3.614691,5,0.29745,72,281,0,49.045065,"{""ok"": 353}",
bazi,ipo_approx_v1,B_DAY_001,TRAIN,2013,2010_2014,371,371,0,0.0,0.849057,156,56,159,-0.102965,0.781867,-1.0,0.0,0.6,1.0,7.088949,3.435925,5,0.315364,47,324,0,43.757351,"{""ok"": 371}",
bazi,ipo_approx_v1,B_DAY_001,TRAIN,2014,2010_2014,372,372,0,0.0,0.887097,260,42,70,0.345161,0.68121,0.0,0.6,1.0,1.0,6.978495,3.08541,5,0.443548,95,277,0,59.409085,"{""ok"": 372}",
bazi,ipo_approx_v1,B_DAY_001,TRAIN,2015,2015_2019,384,384,0,0.0,0.848958,164,58,162,-0.09375,0.780415,-1.0,0.0,0.6,1.0,7.0625,3.431729,5,0.3125,48,336,0,43.988501,"{""ok"": 384}",
bazi,ipo_approx_v1,B_DAY_001,TRAIN,2016,2015_2019,399,399,0,0.0,0.887218,280,45,74,0.352381,0.677742,0.0,0.6,1.0,1.0,6.982456,3.082972,5,0.441103,104,295,0,59.747564,"{""ok"": 399}",
bazi,ipo_approx_v1,B_DAY_001,TRAIN,2017,2015_2019,410,410,0,0.0,0.829268,123,70,217,-0.268293,0.802087,-1.0,-0.8,0.6,1.0,7.590244,3.714493,5,0.45122,67,343,0,38.533554,"{""ok"": 410}",
bazi,ipo_approx_v1,B_DAY_001,TRAIN,2018,2015_2019,433,433,0,0.0,0.889145,307,48,78,0.363972,0.674259,0.0,0.6,1.0,1.0,7.011547,3.076547,5,0.441109,116,317,0,60.173663,"{""ok"": 433}",
bazi,ipo_approx_v1,B_DAY_001,VALIDATION,2019,2015_2019,438,438,0,0.0,0.824201,127,77,234,-0.283105,0.795086,-1.0,-0.8,0.6,1.0,7.552511,3.752129,5,0.458904,68,370,0,37.899783,"{""ok"": 438}",
