engine,birth_model,partition,year,market_phase,sample_count,available_count,unavailable_count,availability_rate,raw_direction_positive,raw_direction_neutral,raw_direction_negative,mean_opinion_score,std_opinion_score,min_opinion_score,max_opinion_score,p25_opinion_score,p50_opinion_score,p75_opinion_score,p95_opinion_score,calibrated_positive,calibrated_neutral,calibrated_negative,calibrated_direction_entropy_bits,mean_rank_score,calibration_status
bazi,ipo_approx_v1,OOS,2023,2022_2026,483,483,0,1.0,475,8,0,65.391636,3.259818,54.55,73.43,63.26,65.54,67.635,70.647,146,258,79,1.432215,55.212629,"{""ok"": 483}"
bazi,ipo_approx_v1,OOS,2024,2022_2026,490,490,0,1.0,449,41,0,64.69302,4.304801,50.82,73.74,62.3825,64.71,68.2175,70.8685,161,206,123,1.553728,50.85086,"{""ok"": 490}"
bazi,ipo_approx_v1,OOS,2025,2022_2026,493,493,0,1.0,491,2,0,64.131237,2.93737,57.09,71.38,61.8,64.22,66.51,68.768,89,254,150,1.461085,44.030017,"{""ok"": 493}"
bazi,ipo_approx_v1,OOS,2026,2022_2026,997,997,0,1.0,991,6,0,65.688034,3.388538,55.53,76.4,63.27,65.64,68.09,71.032,362,458,177,1.488967,57.142677,"{""ok"": 997}"
bazi,ipo_approx_v1,TRAIN,2010,2010_2014,291,291,0,1.0,280,11,0,64.61622,3.005296,55.91,71.26,63.085,65.11,66.53,68.715,51,176,64,1.359605,49.126536,"{""ok"": 291}"
bazi,ipo_approx_v1,TRAIN,2011,2010_2014,326,326,0,1.0,322,4,0,65.100368,2.961446,56.25,72.94,63.1675,65.425,66.9375,69.8675,75,189,62,1.39908,52.548842,"{""ok"": 326}"
bazi,ipo_approx_v1,TRAIN,2012,2010_2014,353,353,0,1.0,324,29,0,64.029632,3.738383,51.9,71.43,61.25,64.81,66.72,69.396,70,180,103,1.476859,45.486002,"{""ok"": 353}"
bazi,ipo_approx_v1,TRAIN,2013,2010_2014,371,371,0,1.0,363,8,0,64.105903,3.223238,53.34,72.47,61.86,63.68,66.775,69.495,81,169,121,1.523257,44.014058,"{""ok"": 371}"
bazi,ipo_approx_v1,TRAIN,2014,2010_2014,372,372,0,1.0,370,2,0,66.577446,3.333657,57.3,73.8,64.09,66.915,69.14,71.52,177,149,46,1.411454,65.00574,"{""ok"": 372}"
bazi,ipo_approx_v1,TRAIN,2015,2015_2019,384,384,0,1.0,370,14,0,64.145625,3.457976,56.47,72.25,61.5625,64.1,66.4925,69.8,82,182,120,1.510575,44.591499,"{""ok"": 384}"
bazi,ipo_approx_v1,TRAIN,2016,2015_2019,399,399,0,1.0,396,3,0,64.415238,3.044694,56.35,73.02,62.26,64.29,66.59,69.486,76,215,108,1.446682,46.281509,"{""ok"": 399}"
bazi,ipo_approx_v1,TRAIN,2017,2015_2019,410,410,0,1.0,404,6,0,65.655415,3.171948,56.32,73.01,63.6,65.97,67.935,70.7565,139,204,67,1.457198,57.936471,"{""ok"": 410}"
bazi,ipo_approx_v1,TRAIN,2018,2015_2019,433,433,0,1.0,423,10,0,64.18649,3.127184,55.15,71.71,61.63,64.45,66.44,68.692,83,208,142,1.492441,45.293152,"{""ok"": 433}"
bazi,ipo_approx_v1,VALIDATION,2019,2015_2019,438,438,0,1.0,409,29,0,63.560822,3.767233,54.74,74.68,60.9175,63.35,65.9925,70.0065,86,183,169,1.517297,39.838747,"{""ok"": 438}"
bazi,ipo_approx_v1,VALIDATION,2020,2020_2021,443,443,0,1.0,436,7,0,64.917472,3.134087,55.52,72.15,62.77,64.67,67.1,70.419,111,240,92,1.450301,50.448966,"{""ok"": 443}"
bazi,ipo_approx_v1,VALIDATION,2021,2020_2021,459,459,0,1.0,388,71,0,63.628192,4.451052,52.77,72.03,61.28,64.51,67.04,69.325,112,200,147,1.544863,44.777114,"{""ok"": 459}"
bazi,ipo_approx_v1,VALIDATION,2022,2022_2026,474,474,0,1.0,468,6,0,65.28557,3.296073,56.38,73.85,62.915,65.11,67.24,71.657,129,249,96,1.465441,52.966981,"{""ok"": 474}"
