hypothesis_id,object_id,birth_model,direction_source,partition,event_count,pool_count,positive_rate,date_count,min_rate,max_rate,std_rate,dates_above_high,dates_below_low,mean_hit_per_date,threshold_high,threshold_low
HYP-BZ-RAW-001,bazi_raw,listing_open_v1,raw,TRAIN,10239,10647,0.961679,36,0.874627,1.0,0.031599,36,0,284.416667,0.6,0.05
HYP-BZ-RAW-001,bazi_raw,listing_open_v1,raw,VALIDATION,5040,5246,0.960732,16,0.849398,1.0,0.040317,16,0,315.0,0.6,0.05
HYP-BZ-RAW-001,bazi_raw,listing_open_v1,raw,OOS,3366,3529,0.953811,16,0.87931,1.0,0.038319,16,0,210.375,0.6,0.05
HYP-BZ-RAW-001,bazi_raw,listing_close_v1,raw,TRAIN,10250,10647,0.962713,36,0.803571,1.0,0.039043,36,0,284.722222,0.6,0.05
HYP-BZ-RAW-001,bazi_raw,listing_close_v1,raw,VALIDATION,5000,5246,0.953107,16,0.85241,0.993174,0.036957,16,0,312.5,0.6,0.05
HYP-BZ-RAW-001,bazi_raw,listing_close_v1,raw,OOS,3285,3529,0.930859,16,0.787402,1.0,0.072058,16,0,205.3125,0.6,0.05
HYP-BZ-RAW-001,bazi_raw,ipo_approx_v1,raw,TRAIN,10267,10647,0.964309,36,0.871642,1.0,0.030423,36,0,285.194444,0.6,0.05
HYP-BZ-RAW-001,bazi_raw,ipo_approx_v1,raw,VALIDATION,5037,5246,0.96016,16,0.843373,1.0,0.039338,16,0,314.8125,0.6,0.05
HYP-BZ-RAW-001,bazi_raw,ipo_approx_v1,raw,OOS,3366,3529,0.953811,16,0.876,1.0,0.039416,16,0,210.375,0.6,0.05
HYP-BZ-CAL-001,bazi_calibrated,listing_open_v1,calibrated,TRAIN,2659,10647,0.249742,36,0.065693,0.528846,0.11777,0,0,73.861111,0.6,0.05
HYP-BZ-CAL-001,bazi_calibrated,listing_open_v1,calibrated,VALIDATION,1298,5246,0.247427,16,0.116766,0.50152,0.110333,0,0,81.125,0.6,0.05
HYP-BZ-CAL-001,bazi_calibrated,listing_open_v1,calibrated,OOS,896,3529,0.253896,16,0.11284,0.434783,0.092032,0,0,56.0,0.6,0.05
HYP-BZ-CAL-001,bazi_calibrated,listing_close_v1,calibrated,TRAIN,2653,10647,0.249178,36,0.113139,0.491468,0.090677,0,0,73.694444,0.6,0.05
HYP-BZ-CAL-001,bazi_calibrated,listing_close_v1,calibrated,VALIDATION,1241,5246,0.236561,16,0.112805,0.430508,0.079523,0,0,77.5625,0.6,0.05
HYP-BZ-CAL-001,bazi_calibrated,listing_close_v1,calibrated,OOS,930,3529,0.263531,16,0.07393,0.435233,0.103886,0,0,58.125,0.6,0.05
HYP-BZ-CAL-001,bazi_calibrated,ipo_approx_v1,calibrated,TRAIN,2658,10647,0.249648,36,0.091241,0.527197,0.116007,0,0,73.833333,0.6,0.05
HYP-BZ-CAL-001,bazi_calibrated,ipo_approx_v1,calibrated,VALIDATION,1365,5246,0.260198,16,0.125749,0.547112,0.110335,0,0,85.3125,0.6,0.05
HYP-BZ-CAL-001,bazi_calibrated,ipo_approx_v1,calibrated,OOS,894,3529,0.25333,16,0.105058,0.391304,0.085383,0,0,55.875,0.6,0.05
HYP-ZW-RAW-001,ziwei_raw,listing_open_v1,raw,TRAIN,2958,10647,0.277825,36,0.128571,0.434978,0.07705,0,0,82.166667,0.6,0.05
HYP-ZW-RAW-001,ziwei_raw,listing_open_v1,raw,VALIDATION,2040,5246,0.388868,16,0.194539,0.463855,0.089433,0,0,127.5,0.6,0.05
HYP-ZW-RAW-001,ziwei_raw,listing_open_v1,raw,OOS,831,3529,0.235477,16,0.171206,0.339394,0.037978,0,0,51.9375,0.6,0.05
HYP-ZW-RAW-001,ziwei_raw,listing_close_v1,raw,TRAIN,3581,10647,0.336339,36,0.053571,0.512048,0.09778,0,0,99.472222,0.6,0.05
HYP-ZW-RAW-001,ziwei_raw,listing_close_v1,raw,VALIDATION,2445,5246,0.466069,16,0.290102,0.620178,0.103043,2,0,152.8125,0.6,0.05
HYP-ZW-RAW-001,ziwei_raw,listing_close_v1,raw,OOS,1067,3529,0.302352,16,0.136187,0.4,0.063259,0,0,66.6875,0.6,0.05
HYP-ZW-RAW-001,ziwei_raw,ipo_approx_v1,raw,TRAIN,3101,10647,0.291256,36,0.166667,0.434978,0.071757,0,0,86.138889,0.6,0.05
HYP-ZW-RAW-001,ziwei_raw,ipo_approx_v1,raw,VALIDATION,2072,5246,0.394968,16,0.215017,0.502994,0.090875,0,0,129.5,0.6,0.05
HYP-ZW-RAW-001,ziwei_raw,ipo_approx_v1,raw,OOS,975,3529,0.276282,16,0.202335,0.424242,0.062537,0,0,60.9375,0.6,0.05
HYP-ZW-CAL-001,ziwei_calibrated,listing_open_v1,calibrated,TRAIN,2668,10647,0.250587,36,0.107143,0.408072,0.075053,0,0,74.111111,0.6,0.05
HYP-ZW-CAL-001,ziwei_calibrated,listing_open_v1,calibrated,VALIDATION,1881,5246,0.358559,16,0.174061,0.439024,0.087999,0,0,117.5625,0.6,0.05
HYP-ZW-CAL-001,ziwei_calibrated,listing_open_v1,calibrated,OOS,746,3529,0.211391,16,0.132296,0.30303,0.035423,0,0,46.625,0.6,0.05
HYP-ZW-CAL-001,ziwei_calibrated,listing_close_v1,calibrated,TRAIN,2669,10647,0.250681,36,0.025,0.409639,0.082103,0,1,74.138889,0.6,0.05
HYP-ZW-CAL-001,ziwei_calibrated,listing_close_v1,calibrated,VALIDATION,1920,5246,0.365993,16,0.180887,0.525223,0.103037,0,0,120.0,0.6,0.05
HYP-ZW-CAL-001,ziwei_calibrated,listing_close_v1,calibrated,OOS,791,3529,0.224143,16,0.093385,0.327273,0.054186,0,0,49.4375,0.6,0.05
HYP-ZW-CAL-001,ziwei_calibrated,ipo_approx_v1,calibrated,TRAIN,2664,10647,0.250211,36,0.110714,0.381232,0.0706,0,0,74.0,0.6,0.05
HYP-ZW-CAL-001,ziwei_calibrated,ipo_approx_v1,calibrated,VALIDATION,1826,5246,0.348075,16,0.167235,0.446108,0.088107,0,0,114.125,0.6,0.05
HYP-ZW-CAL-001,ziwei_calibrated,ipo_approx_v1,calibrated,OOS,816,3529,0.231227,16,0.143969,0.363636,0.057887,0,0,51.0,0.6,0.05
HYP-HL-RAW-001,huangli_raw,listing_open_v1,raw,TRAIN,4895,10647,0.459754,36,0.008969,0.969178,0.316953,12,2,135.972222,0.6,0.05
HYP-HL-RAW-001,huangli_raw,listing_open_v1,raw,VALIDATION,2197,5246,0.418795,16,0.003413,0.826347,0.274822,6,1,137.3125,0.6,0.05
HYP-HL-RAW-001,huangli_raw,listing_open_v1,raw,OOS,1500,3529,0.42505,16,0.054545,0.944882,0.339042,6,0,93.75,0.6,0.05
HYP-HL-RAW-001,huangli_raw,listing_close_v1,raw,TRAIN,5219,10647,0.490185,36,0.0,0.973422,0.280205,13,3,144.972222,0.6,0.05
HYP-HL-RAW-001,huangli_raw,listing_close_v1,raw,VALIDATION,2381,5246,0.45387,16,0.015198,0.927928,0.259369,4,2,148.8125,0.6,0.05
HYP-HL-RAW-001,huangli_raw,listing_close_v1,raw,OOS,1509,3529,0.4276,16,0.006061,0.912,0.291481,4,2,94.3125,0.6,0.05
HYP-HL-RAW-001,huangli_raw,ipo_approx_v1,raw,TRAIN,4903,10647,0.460505,36,0.013453,0.965753,0.318188,11,2,136.194444,0.6,0.05
HYP-HL-RAW-001,huangli_raw,ipo_approx_v1,raw,VALIDATION,2182,5246,0.415936,16,0.0,0.820359,0.275756,6,1,136.375,0.6,0.05
HYP-HL-RAW-001,huangli_raw,ipo_approx_v1,raw,OOS,1502,3529,0.425616,16,0.048485,0.948819,0.350102,6,1,93.875,0.6,0.05
HYP-HL-CAL-001,huangli_calibrated,listing_open_v1,calibrated,TRAIN,2653,10647,0.249178,36,0.0,0.849315,0.264038,7,13,73.694444,0.6,0.05
HYP-HL-CAL-001,huangli_calibrated,listing_open_v1,calibrated,VALIDATION,978,5246,0.186428,16,0.0,0.590504,0.202067,0,5,61.125,0.6,0.05
HYP-HL-CAL-001,huangli_calibrated,listing_open_v1,calibrated,OOS,854,3529,0.241995,16,0.0,0.775591,0.269299,2,7,53.375,0.6,0.05
HYP-HL-CAL-001,huangli_calibrated,listing_close_v1,calibrated,TRAIN,2657,10647,0.249554,36,0.0,0.803987,0.253766,5,10,73.805556,0.6,0.05
HYP-HL-CAL-001,huangli_calibrated,listing_close_v1,calibrated,VALIDATION,1179,5246,0.224743,16,0.0,0.703264,0.240042,3,4,73.6875,0.6,0.05
HYP-HL-CAL-001,huangli_calibrated,listing_close_v1,calibrated,OOS,701,3529,0.19864,16,0.0,0.64,0.219383,1,6,43.8125,0.6,0.05
HYP-HL-CAL-001,huangli_calibrated,ipo_approx_v1,calibrated,TRAIN,2663,10647,0.250117,36,0.0,0.880137,0.268706,7,13,73.972222,0.6,0.05
HYP-HL-CAL-001,huangli_calibrated,ipo_approx_v1,calibrated,VALIDATION,1004,5246,0.191384,16,0.0,0.599407,0.208263,0,5,62.75,0.6,0.05
HYP-HL-CAL-001,huangli_calibrated,ipo_approx_v1,calibrated,OOS,856,3529,0.242562,16,0.0,0.775591,0.274917,2,8,53.5,0.6,0.05
HYP-CON-BZ-ZW-RAW-001,bazi_ziwei_raw,listing_open_v1,raw,TRAIN,2842,10647,0.26693,36,0.121429,0.428152,0.074169,0,0,78.944444,0.6,0.05
HYP-CON-BZ-ZW-RAW-001,bazi_ziwei_raw,listing_open_v1,raw,VALIDATION,1971,5246,0.375715,16,0.194539,0.458084,0.085302,0,0,123.1875,0.6,0.05
HYP-CON-BZ-ZW-RAW-001,bazi_ziwei_raw,listing_open_v1,raw,OOS,807,3529,0.228677,16,0.167315,0.339394,0.039674,0,0,50.4375,0.6,0.05
HYP-CON-BZ-ZW-RAW-001,bazi_ziwei_raw,listing_close_v1,raw,TRAIN,3474,10647,0.326289,36,0.042857,0.493274,0.096207,0,1,96.5,0.6,0.05
HYP-CON-BZ-ZW-RAW-001,bazi_ziwei_raw,listing_close_v1,raw,VALIDATION,2323,5246,0.442814,16,0.290102,0.608309,0.095913,1,0,145.1875,0.6,0.05
HYP-CON-BZ-ZW-RAW-001,bazi_ziwei_raw,listing_close_v1,raw,OOS,997,3529,0.282516,16,0.101167,0.396396,0.073578,0,0,62.3125,0.6,0.05
