hypothesis_id,object_id,birth_model,direction_source,partition,horizon,event_count,pool_count,positive_rate,sample_count,eligible_stock_count,coverage_start,coverage_end,mean_return,median_return,std_return,up_rate,mean_excess_return,excess_up_rate,mean_bench_return
HYP-BZ-RAW-001,bazi_raw,listing_open_v1,raw,TRAIN,5,10239,10647,0.961679,10238,369,2010-01-04,2020-06-30,0.00141,0.001308,0.128492,0.504981,-0.000805,0.459172,0.002215
HYP-BZ-RAW-001,bazi_raw,listing_open_v1,raw,TRAIN,10,10239,10647,0.961679,10233,369,2010-01-04,2020-06-30,0.003114,-0.002041,0.171892,0.487931,-0.003084,0.433304,0.006198
HYP-BZ-RAW-001,bazi_raw,listing_open_v1,raw,TRAIN,20,10239,10647,0.961679,10224,369,2010-01-04,2020-06-30,0.011374,-0.007854,0.237881,0.468799,0.002135,0.426252,0.009239
HYP-BZ-RAW-001,bazi_raw,listing_open_v1,raw,TRAIN,60,10239,10647,0.961679,10140,369,2010-01-04,2020-06-30,0.031677,-0.020315,0.329823,0.454734,0.02758,0.473274,0.004097
HYP-BZ-RAW-001,bazi_raw,listing_open_v1,raw,VALIDATION,5,5040,5246,0.960732,5035,381,2019-01-02,2022-10-10,0.00613,0.008499,0.098662,0.550745,-0.006058,0.494538,0.012188
HYP-BZ-RAW-001,bazi_raw,listing_open_v1,raw,VALIDATION,10,5040,5246,0.960732,5025,381,2019-01-02,2022-10-10,-0.00747,-0.006075,0.130726,0.46408,-0.014537,0.431841,0.007067
HYP-BZ-RAW-001,bazi_raw,listing_open_v1,raw,VALIDATION,20,5040,5246,0.960732,5009,381,2019-01-02,2022-10-10,-0.052074,-0.047619,0.186682,0.343382,-0.05023,0.335396,-0.001844
HYP-BZ-RAW-001,bazi_raw,listing_open_v1,raw,VALIDATION,60,5040,5246,0.960732,4859,381,2019-01-02,2022-10-10,0.015485,-0.020964,0.270959,0.449475,-0.012402,0.419839,0.027888
HYP-BZ-RAW-001,bazi_raw,listing_open_v1,raw,OOS,5,3366,3529,0.953811,3185,312,2023-01-03,2026-08-14,-0.023183,-0.020833,0.080182,0.324019,-0.008514,0.400628,-0.014669
HYP-BZ-RAW-001,bazi_raw,listing_open_v1,raw,OOS,10,3366,3529,0.953811,3167,312,2023-01-03,2026-08-14,-0.02484,-0.022621,0.108357,0.369119,-0.019223,0.379855,-0.005617
HYP-BZ-RAW-001,bazi_raw,listing_open_v1,raw,OOS,20,3366,3529,0.953811,3132,312,2023-01-03,2026-08-14,-0.021917,-0.005727,0.182047,0.47765,-0.021427,0.448595,-0.000489
HYP-BZ-RAW-001,bazi_raw,listing_open_v1,raw,OOS,60,3366,3529,0.953811,2869,312,2023-01-03,2026-08-14,-0.018715,-0.039717,0.261505,0.402579,-0.014875,0.428024,-0.003839
HYP-BZ-RAW-001,bazi_raw,listing_close_v1,raw,TRAIN,5,10250,10647,0.962713,10249,369,2010-01-04,2020-06-30,0.001264,0.001117,0.129302,0.503269,-0.000624,0.458386,0.001887
HYP-BZ-RAW-001,bazi_raw,listing_close_v1,raw,TRAIN,10,10250,10647,0.962713,10244,369,2010-01-04,2020-06-30,0.003375,-0.001978,0.173316,0.488383,-0.002597,0.434693,0.005972
HYP-BZ-RAW-001,bazi_raw,listing_close_v1,raw,TRAIN,20,10250,10647,0.962713,10235,369,2010-01-04,2020-06-30,0.011229,-0.008445,0.239231,0.466634,0.002601,0.426673,0.008628
HYP-BZ-RAW-001,bazi_raw,listing_close_v1,raw,TRAIN,60,10250,10647,0.962713,10151,369,2010-01-04,2020-06-30,0.031526,-0.021053,0.331663,0.452763,0.027171,0.47217,0.004354
HYP-BZ-RAW-001,bazi_raw,listing_close_v1,raw,VALIDATION,5,5000,5246,0.953107,4995,380,2019-01-02,2022-10-10,0.0061,0.00848,0.099153,0.55015,-0.006549,0.49029,0.012648
HYP-BZ-RAW-001,bazi_raw,listing_close_v1,raw,VALIDATION,10,5000,5246,0.953107,4986,380,2019-01-02,2022-10-10,-0.007221,-0.005902,0.131748,0.464902,-0.014822,0.430004,0.007601
HYP-BZ-RAW-001,bazi_raw,listing_close_v1,raw,VALIDATION,20,5000,5246,0.953107,4970,380,2019-01-02,2022-10-10,-0.050754,-0.046538,0.186988,0.346479,-0.049629,0.336217,-0.001125
HYP-BZ-RAW-001,bazi_raw,listing_close_v1,raw,VALIDATION,60,5000,5246,0.953107,4817,380,2019-01-02,2022-10-10,0.018649,-0.019324,0.273346,0.454225,-0.010651,0.425368,0.0293
HYP-BZ-RAW-001,bazi_raw,listing_close_v1,raw,OOS,5,3285,3529,0.930859,3106,309,2023-01-03,2026-08-14,-0.023841,-0.021603,0.081297,0.321958,-0.00883,0.393432,-0.01501
HYP-BZ-RAW-001,bazi_raw,listing_close_v1,raw,OOS,10,3285,3529,0.930859,3088,309,2023-01-03,2026-08-14,-0.025164,-0.022181,0.109137,0.369495,-0.019884,0.378886,-0.00528
HYP-BZ-RAW-001,bazi_raw,listing_close_v1,raw,OOS,20,3285,3529,0.930859,3052,309,2023-01-03,2026-08-14,-0.021238,-0.005126,0.182335,0.479358,-0.021138,0.451507,-0.0001
HYP-BZ-RAW-001,bazi_raw,listing_close_v1,raw,OOS,60,3285,3529,0.930859,2782,309,2023-01-03,2026-08-14,-0.015975,-0.038109,0.266025,0.406183,-0.012988,0.42775,-0.002987
HYP-BZ-RAW-001,bazi_raw,ipo_approx_v1,raw,TRAIN,5,10267,10647,0.964309,10266,369,2010-01-04,2020-06-30,0.00183,0.001308,0.128811,0.504968,-0.000445,0.458991,0.002275
HYP-BZ-RAW-001,bazi_raw,ipo_approx_v1,raw,TRAIN,10,10267,10647,0.964309,10262,369,2010-01-04,2020-06-30,0.003607,-0.001754,0.173224,0.489671,-0.002673,0.433639,0.00628
HYP-BZ-RAW-001,bazi_raw,ipo_approx_v1,raw,TRAIN,20,10267,10647,0.964309,10253,369,2010-01-04,2020-06-30,0.011813,-0.007553,0.23907,0.468741,0.002541,0.426509,0.009272
HYP-BZ-RAW-001,bazi_raw,ipo_approx_v1,raw,TRAIN,60,10267,10647,0.964309,10171,369,2010-01-04,2020-06-30,0.032633,-0.020193,0.333284,0.455412,0.028231,0.473405,0.004403
HYP-BZ-RAW-001,bazi_raw,ipo_approx_v1,raw,VALIDATION,5,5037,5246,0.96016,5032,381,2019-01-02,2022-10-10,0.005809,0.008127,0.098656,0.54849,-0.006317,0.493839,0.012126
HYP-BZ-RAW-001,bazi_raw,ipo_approx_v1,raw,VALIDATION,10,5037,5246,0.96016,5022,381,2019-01-02,2022-10-10,-0.008108,-0.00615,0.132478,0.463162,-0.01503,0.430904,0.006922
HYP-BZ-RAW-001,bazi_raw,ipo_approx_v1,raw,VALIDATION,20,5037,5246,0.96016,5007,381,2019-01-02,2022-10-10,-0.052847,-0.047244,0.188302,0.343519,-0.050818,0.335331,-0.002028
HYP-BZ-RAW-001,bazi_raw,ipo_approx_v1,raw,VALIDATION,60,5037,5246,0.96016,4850,381,2019-01-02,2022-10-10,0.015165,-0.022392,0.273345,0.447835,-0.012385,0.420825,0.02755
HYP-BZ-RAW-001,bazi_raw,ipo_approx_v1,raw,OOS,5,3366,3529,0.953811,3186,311,2023-01-03,2026-08-14,-0.022926,-0.020495,0.080529,0.325487,-0.008293,0.403013,-0.014633
HYP-BZ-RAW-001,bazi_raw,ipo_approx_v1,raw,OOS,10,3366,3529,0.953811,3168,311,2023-01-03,2026-08-14,-0.02438,-0.022204,0.109182,0.370896,-0.018773,0.386048,-0.005607
HYP-BZ-RAW-001,bazi_raw,ipo_approx_v1,raw,OOS,20,3366,3529,0.953811,3131,311,2023-01-03,2026-08-14,-0.021359,-0.005882,0.181212,0.476206,-0.020725,0.450016,-0.000634
HYP-BZ-RAW-001,bazi_raw,ipo_approx_v1,raw,OOS,60,3366,3529,0.953811,2865,311,2023-01-03,2026-08-14,-0.015535,-0.037714,0.266156,0.406981,-0.01154,0.434904,-0.003995
HYP-BZ-CAL-001,bazi_calibrated,listing_open_v1,calibrated,TRAIN,5,2659,10647,0.249742,2658,318,2010-01-04,2020-06-30,-0.000231,0.002472,0.126017,0.515049,-0.00407,0.450715,0.003839
HYP-BZ-CAL-001,bazi_calibrated,listing_open_v1,calibrated,TRAIN,10,2659,10647,0.249742,2656,318,2010-01-04,2020-06-30,0.006079,0.004493,0.158275,0.515813,-0.003216,0.445783,0.009295
HYP-BZ-CAL-001,bazi_calibrated,listing_open_v1,calibrated,TRAIN,20,2659,10647,0.249742,2655,318,2010-01-04,2020-06-30,0.01025,-0.007331,0.196171,0.465537,-0.003386,0.419962,0.013637
HYP-BZ-CAL-001,bazi_calibrated,listing_open_v1,calibrated,TRAIN,60,2659,10647,0.249742,2634,318,2010-01-04,2020-06-30,0.041615,-0.010201,0.316556,0.475702,0.029346,0.485194,0.012269
HYP-BZ-CAL-001,bazi_calibrated,listing_open_v1,calibrated,VALIDATION,5,1298,5246,0.247427,1294,293,2019-01-02,2022-10-10,0.00202,0.007073,0.10384,0.537867,-0.008444,0.486862,0.010464
HYP-BZ-CAL-001,bazi_calibrated,listing_open_v1,calibrated,VALIDATION,10,1298,5246,0.247427,1293,293,2019-01-02,2022-10-10,-0.015552,-0.009346,0.138271,0.440835,-0.016411,0.435422,0.000859
HYP-BZ-CAL-001,bazi_calibrated,listing_open_v1,calibrated,VALIDATION,20,1298,5246,0.247427,1287,293,2019-01-02,2022-10-10,-0.058911,-0.045936,0.211756,0.369075,-0.048955,0.372183,-0.009957
HYP-BZ-CAL-001,bazi_calibrated,listing_open_v1,calibrated,VALIDATION,60,1298,5246,0.247427,1224,293,2019-01-02,2022-10-10,0.018817,-0.024046,0.276497,0.453431,0.006745,0.438725,0.012072
HYP-BZ-CAL-001,bazi_calibrated,listing_open_v1,calibrated,OOS,5,896,3529,0.253896,842,197,2023-01-03,2026-08-14,-0.020464,-0.021685,0.077064,0.340855,-0.008672,0.391924,-0.011792
HYP-BZ-CAL-001,bazi_calibrated,listing_open_v1,calibrated,OOS,10,896,3529,0.253896,837,197,2023-01-03,2026-08-14,-0.019352,-0.018707,0.105833,0.402628,-0.017705,0.389486,-0.001647
HYP-BZ-CAL-001,bazi_calibrated,listing_open_v1,calibrated,OOS,20,896,3529,0.253896,831,197,2023-01-03,2026-08-14,-0.01529,-0.008,0.184775,0.474128,-0.015716,0.445247,0.000426
