experiment_id,hypothesis_id,object_id,birth_model,direction_source,logic,expected_direction,primary_horizon,split_version,split_fingerprint,calibration_version,calibration_fit_hash,status,pending_fdr,train_event_count,train_pool_count,train_positive_rate,validation_event_count,validation_pool_count,validation_positive_rate,oos_event_count,oos_pool_count,oos_positive_rate,oos_hit_rate_min,oos_hit_rate_max,oos_hit_rate_std,oos_dates_above_60pct,oos_dates_below_5pct,oos_sample_count,oos_eligible_stock_count,oos_coverage_start,oos_coverage_end,train_mean_excess_return,validation_mean_excess_return,oos_mean_return,oos_mean_excess_return,oos_up_rate,oos_excess_up_rate,oos_sign,validation_sign,overlap_ratio,non_overlapping_event_count,non_overlapping_mean_excess_return,positive_year_ratio,sign_consistency,year_count,top_1_contribution,top_5_contribution,loo_sign_flip_count,loo_mean_min,loo_mean_max,stock_count,single_name_dependent,control_jaccard,control_mean_excess_return,control_p_value,control_p_value_lower,control_event_count,gate_version,git_sha,dataset_version,universe_version,label_version,factor_rule_version,bazi_engine_version,ziwei_engine_version,huangli_engine_version,warnings
OOS3D--HYP-BZ-RAW-001--listing_open_v1,HYP-BZ-RAW-001,bazi_raw,listing_open_v1,raw,single,positive,20,phase3-oos-v1,6a059b3dbe54f22d,cal-v1,7e9897570d3b5a28,INVALID_CONTROL,False,10239,10647,0.961679,5040,5246,0.960732,3366,3529,0.953811,0.87931,1.0,0.038319,16,0,3132,312,2023-01-03,2026-08-14,0.002135,-0.05023,-0.021917,-0.021427,0.47765,0.448595,-1,-1,0.001783,3363,-0.021081,0.0,1.0,4,0.020173,0.071542,0,-0.022153,-0.020574,309,False,0.859227,-0.022827,0.03980099502487562,0.9651741293532339,3132,phase3d-oos-gate-v1,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,phase3d-hfq-adjfactor-v1,v1.1,smx-bazi-native-1.0.0,iztro-2.6.1+smx-1.0.0,huangli-engine-1.0.0,
OOS3D--HYP-BZ-RAW-001--listing_close_v1,HYP-BZ-RAW-001,bazi_raw,listing_close_v1,raw,single,positive,20,phase3-oos-v1,6a059b3dbe54f22d,cal-v1,7e9897570d3b5a28,INCONCLUSIVE,False,10250,10647,0.962713,5000,5246,0.953107,3285,3529,0.930859,0.787402,1.0,0.072058,16,0,3052,309,2023-01-03,2026-08-14,0.002601,-0.049629,-0.021238,-0.021138,0.479358,0.451507,-1,-1,0.001826,3282,-0.020783,0.0,1.0,4,0.020755,0.073456,0,-0.021882,-0.020261,305,False,0.820454,-0.022798,0.024875621890547265,0.9800995024875622,3052,phase3d-oos-gate-v1,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,phase3d-hfq-adjfactor-v1,v1.1,smx-bazi-native-1.0.0,iztro-2.6.1+smx-1.0.0,huangli-engine-1.0.0,
OOS3D--HYP-BZ-RAW-001--ipo_approx_v1,HYP-BZ-RAW-001,bazi_raw,ipo_approx_v1,raw,single,positive,20,phase3-oos-v1,6a059b3dbe54f22d,cal-v1,7e9897570d3b5a28,INVALID_CONTROL,False,10267,10647,0.964309,5037,5246,0.96016,3366,3529,0.953811,0.876,1.0,0.039416,16,0,3131,311,2023-01-03,2026-08-14,0.002541,-0.050818,-0.021359,-0.020725,0.476206,0.450016,-1,-1,0.001783,3363,-0.020379,0.0,1.0,4,0.016539,0.066308,0,-0.021448,-0.020046,308,False,0.847313,-0.022915,0.004975124378109453,1.0,3131,phase3d-oos-gate-v1,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,phase3d-hfq-adjfactor-v1,v1.1,smx-bazi-native-1.0.0,iztro-2.6.1+smx-1.0.0,huangli-engine-1.0.0,IPO_APPROXIMATION_WARNING：本结果的出生时间使用 ipo_approx_v1 近似口径（TuShare ipo_date 近似），**不是真实公司成立时间**，不得描述为『真实 IPO 出生时间』。
OOS3D--HYP-BZ-CAL-001--listing_open_v1,HYP-BZ-CAL-001,bazi_calibrated,listing_open_v1,calibrated,single,positive,20,phase3-oos-v1,6a059b3dbe54f22d,cal-v1,7e9897570d3b5a28,INCONCLUSIVE,False,2659,10647,0.249742,1298,5246,0.247427,896,3529,0.253896,0.11284,0.434783,0.092032,0,0,831,197,2023-01-03,2026-08-14,-0.003386,-0.048955,-0.01529,-0.015716,0.474128,0.445247,-1,-1,0.0,896,-0.015716,0.5,0.5,4,0.036614,0.147868,0,-0.017932,-0.013906,186,False,0.126549,-0.023063,0.08955223880597014,0.9154228855721394,831,phase3d-oos-gate-v1,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,phase3d-hfq-adjfactor-v1,v1.1,smx-bazi-native-1.0.0,iztro-2.6.1+smx-1.0.0,huangli-engine-1.0.0,
OOS3D--HYP-BZ-CAL-001--listing_close_v1,HYP-BZ-CAL-001,bazi_calibrated,listing_close_v1,calibrated,single,positive,20,phase3-oos-v1,6a059b3dbe54f22d,cal-v1,7e9897570d3b5a28,INCONCLUSIVE,False,2653,10647,0.249178,1241,5246,0.236561,930,3529,0.263531,0.07393,0.435233,0.103886,0,0,874,190,2023-01-03,2026-08-14,0.009627,-0.041721,-0.017134,-0.017395,0.464531,0.440503,-1,-1,0.0,930,-0.017395,0.25,0.75,4,0.027157,0.116957,0,-0.019282,-0.015683,185,False,0.134591,-0.023014,0.15422885572139303,0.8507462686567164,874,phase3d-oos-gate-v1,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,phase3d-hfq-adjfactor-v1,v1.1,smx-bazi-native-1.0.0,iztro-2.6.1+smx-1.0.0,huangli-engine-1.0.0,
OOS3D--HYP-BZ-CAL-001--ipo_approx_v1,HYP-BZ-CAL-001,bazi_calibrated,ipo_approx_v1,calibrated,single,positive,20,phase3-oos-v1,6a059b3dbe54f22d,cal-v1,7e9897570d3b5a28,WEAK_EVIDENCE,False,2658,10647,0.249648,1365,5246,0.260198,894,3529,0.25333,0.105058,0.391304,0.085383,0,0,813,198,2023-01-03,2026-08-14,0.00744,-0.045242,-0.011217,-0.01231,0.506765,0.453875,-1,-1,0.0,894,-0.01231,0.25,0.75,4,0.045732,0.176578,0,-0.014977,-0.010131,179,False,0.124506,-0.022291,0.04975124378109453,0.9552238805970149,813,phase3d-oos-gate-v1,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,phase3d-hfq-adjfactor-v1,v1.1,smx-bazi-native-1.0.0,iztro-2.6.1+smx-1.0.0,huangli-engine-1.0.0,IPO_APPROXIMATION_WARNING：本结果的出生时间使用 ipo_approx_v1 近似口径（TuShare ipo_date 近似），**不是真实公司成立时间**，不得描述为『真实 IPO 出生时间』。
OOS3D--HYP-ZW-RAW-001--listing_open_v1,HYP-ZW-RAW-001,ziwei_raw,listing_open_v1,raw,single,positive,20,phase3-oos-v1,6a059b3dbe54f22d,cal-v1,7e9897570d3b5a28,INCONCLUSIVE,False,2958,10647,0.277825,2040,5246,0.388868,831,3529,0.235477,0.171206,0.339394,0.037978,0,0,755,173,2023-01-03,2026-08-14,0.003799,-0.057633,-0.020977,-0.019228,0.486093,0.454305,-1,-1,0.0,831,-0.019228,0.25,0.75,4,0.040234,0.14601,0,-0.020847,-0.017154,167,False,0.120848,-0.023263,0.24875621890547264,0.7562189054726368,755,phase3d-oos-gate-v1,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,phase3d-hfq-adjfactor-v1,v1.1,smx-bazi-native-1.0.0,iztro-2.6.1+smx-1.0.0,huangli-engine-1.0.0,
OOS3D--HYP-ZW-RAW-001--listing_close_v1,HYP-ZW-RAW-001,ziwei_raw,listing_close_v1,raw,single,positive,20,phase3-oos-v1,6a059b3dbe54f22d,cal-v1,7e9897570d3b5a28,INCONCLUSIVE,False,3581,10647,0.336339,2445,5246,0.466069,1067,3529,0.302352,0.136187,0.4,0.063259,0,0,974,184,2023-01-03,2026-08-14,0.00284,-0.059829,-0.023873,-0.022394,0.463039,0.440452,-1,-1,0.0,1067,-0.022394,0.0,1.0,4,0.025934,0.10955,0,-0.023624,-0.021038,175,False,0.156374,-0.022946,0.46766169154228854,0.5373134328358209,974,phase3d-oos-gate-v1,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,phase3d-hfq-adjfactor-v1,v1.1,smx-bazi-native-1.0.0,iztro-2.6.1+smx-1.0.0,huangli-engine-1.0.0,
OOS3D--HYP-ZW-RAW-001--ipo_approx_v1,HYP-ZW-RAW-001,ziwei_raw,ipo_approx_v1,raw,single,positive,20,phase3-oos-v1,6a059b3dbe54f22d,cal-v1,7e9897570d3b5a28,WEAK_EVIDENCE,False,3101,10647,0.291256,2072,5246,0.394968,975,3529,0.276282,0.202335,0.424242,0.062537,0,0,889,169,2023-01-03,2026-08-14,0.001726,-0.055103,-0.017324,-0.013897,0.471316,0.448819,-1,-1,0.002051,974,-0.013897,0.25,0.75,4,0.035923,0.15514,0,-0.015301,-0.012054,157,False,0.150617,-0.022543,0.07462686567164178,0.9303482587064676,889,phase3d-oos-gate-v1,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,phase3d-hfq-adjfactor-v1,v1.1,smx-bazi-native-1.0.0,iztro-2.6.1+smx-1.0.0,huangli-engine-1.0.0,IPO_APPROXIMATION_WARNING：本结果的出生时间使用 ipo_approx_v1 近似口径（TuShare ipo_date 近似），**不是真实公司成立时间**，不得描述为『真实 IPO 出生时间』。
OOS3D--HYP-ZW-CAL-001--listing_open_v1,HYP-ZW-CAL-001,ziwei_calibrated,listing_open_v1,calibrated,single,positive,20,phase3-oos-v1,6a059b3dbe54f22d,cal-v1,7e9897570d3b5a28,INCONCLUSIVE,False,2668,10647,0.250587,1881,5246,0.358559,746,3529,0.211391,0.132296,0.30303,0.035423,0,0,678,166,2023-01-03,2026-08-14,0.003018,-0.059435,-0.022325,-0.020515,0.485251,0.445428,-1,-1,0.0,746,-0.020515,0.25,0.75,4,0.042547,0.152982,0,-0.022324,-0.018213,158,False,0.108171,-0.022873,0.3482587064676617,0.6567164179104478,678,phase3d-oos-gate-v1,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,phase3d-hfq-adjfactor-v1,v1.1,smx-bazi-native-1.0.0,iztro-2.6.1+smx-1.0.0,huangli-engine-1.0.0,
