hypothesis_id,birth_model,partition,direction_source,year,event_count,mean_excess_return,up_rate,direction
HYP-BZ-RAW-001,listing_open_v1,OOS,raw,2023,1037,-0.020038,0.457088,-1
HYP-BZ-RAW-001,listing_open_v1,OOS,raw,2024,857,-0.043307,0.364061,-1
HYP-BZ-RAW-001,listing_open_v1,OOS,raw,2025,747,-0.009962,0.472557,-1
HYP-BZ-RAW-001,listing_open_v1,OOS,raw,2026,491,-0.003615,0.541752,-1
HYP-BZ-RAW-001,listing_close_v1,OOS,raw,2023,944,-0.020516,0.458686,-1
HYP-BZ-RAW-001,listing_close_v1,OOS,raw,2024,841,-0.042086,0.373365,-1
HYP-BZ-RAW-001,listing_close_v1,OOS,raw,2025,757,-0.009649,0.472919,-1
HYP-BZ-RAW-001,listing_close_v1,OOS,raw,2026,510,-0.0048,0.535294,-1
HYP-BZ-RAW-001,ipo_approx_v1,OOS,raw,2023,1042,-0.019301,0.460653,-1
HYP-BZ-RAW-001,ipo_approx_v1,OOS,raw,2024,848,-0.04036,0.369104,-1
HYP-BZ-RAW-001,ipo_approx_v1,OOS,raw,2025,749,-0.010059,0.4753,-1
HYP-BZ-RAW-001,ipo_approx_v1,OOS,raw,2026,492,-0.006139,0.528455,-1
HYP-BZ-CAL-001,listing_open_v1,OOS,calibrated,2023,208,-0.005273,0.466346,-1
HYP-BZ-CAL-001,listing_open_v1,OOS,calibrated,2024,231,-0.065156,0.307359,-1
HYP-BZ-CAL-001,listing_open_v1,OOS,calibrated,2025,225,0.008846,0.488889,1
HYP-BZ-CAL-001,listing_open_v1,OOS,calibrated,2026,167,0.006572,0.550898,1
HYP-BZ-CAL-001,listing_close_v1,OOS,calibrated,2023,183,-0.026363,0.420765,-1
HYP-BZ-CAL-001,listing_close_v1,OOS,calibrated,2024,247,-0.042169,0.360324,-1
HYP-BZ-CAL-001,listing_close_v1,OOS,calibrated,2025,258,0.000296,0.472868,1
HYP-BZ-CAL-001,listing_close_v1,OOS,calibrated,2026,186,-0.000213,0.521505,-1
HYP-BZ-CAL-001,ipo_approx_v1,OOS,calibrated,2023,209,-0.00771,0.430622,-1
HYP-BZ-CAL-001,ipo_approx_v1,OOS,calibrated,2024,240,-0.035626,0.375,-1
HYP-BZ-CAL-001,ipo_approx_v1,OOS,calibrated,2025,223,-3e-06,0.515695,-1
HYP-BZ-CAL-001,ipo_approx_v1,OOS,calibrated,2026,141,0.001097,0.524823,1
HYP-ZW-RAW-001,listing_open_v1,OOS,raw,2023,234,-0.027901,0.478632,-1
HYP-ZW-RAW-001,listing_open_v1,OOS,raw,2024,205,-0.035041,0.37561,-1
HYP-ZW-RAW-001,listing_open_v1,OOS,raw,2025,185,-0.015106,0.437838,-1
HYP-ZW-RAW-001,listing_open_v1,OOS,raw,2026,131,0.01519,0.557252,1
HYP-ZW-RAW-001,listing_close_v1,OOS,raw,2023,280,-0.029297,0.439286,-1
HYP-ZW-RAW-001,listing_close_v1,OOS,raw,2024,293,-0.03261,0.385666,-1
HYP-ZW-RAW-001,listing_close_v1,OOS,raw,2025,228,-0.008303,0.447368,-1
HYP-ZW-RAW-001,listing_close_v1,OOS,raw,2026,173,-0.012486,0.526012,-1
HYP-ZW-RAW-001,ipo_approx_v1,OOS,raw,2023,246,-0.002676,0.48374,-1
HYP-ZW-RAW-001,ipo_approx_v1,OOS,raw,2024,244,-0.036987,0.352459,-1
HYP-ZW-RAW-001,ipo_approx_v1,OOS,raw,2025,229,-0.02012,0.445415,-1
