hypothesis_id,birth_model,rank_within_experiment,stock_code,event_count,sum_excess_return,mean_excess_return,abs_mass_share,share_of_total
HYP-BZ-RAW-001,listing_open_v1,1,300280,10,-2.879456,-0.287946,0.020173,0.042906
HYP-BZ-RAW-001,listing_open_v1,2,300344,13,1.984555,0.152658,0.013903,-0.029571
HYP-BZ-RAW-001,listing_open_v1,3,600421,14,-1.833748,-0.130982,0.012847,0.027324
HYP-BZ-RAW-001,listing_open_v1,4,002336,9,-1.776314,-0.197368,0.012445,0.026468
HYP-BZ-RAW-001,listing_open_v1,5,300282,5,-1.737696,-0.347539,0.012174,0.025893
HYP-BZ-RAW-001,listing_open_v1,6,600766,6,-1.710312,-0.285052,0.011982,0.025485
HYP-BZ-RAW-001,listing_open_v1,7,688287,14,-1.662609,-0.118758,0.011648,0.024774
HYP-BZ-RAW-001,listing_open_v1,8,002087,6,-1.477353,-0.246225,0.01035,0.022014
HYP-BZ-RAW-001,listing_open_v1,9,002433,6,-1.476646,-0.246108,0.010345,0.022003
HYP-BZ-RAW-001,listing_open_v1,10,300630,9,-1.448687,-0.160965,0.010149,0.021587
HYP-BZ-RAW-001,listing_open_v1,11,603133,6,-1.405002,-0.234167,0.009843,0.020936
HYP-BZ-RAW-001,listing_open_v1,12,600599,14,-1.387514,-0.099108,0.009721,0.020675
HYP-BZ-RAW-001,listing_open_v1,13,600804,7,-1.381908,-0.197415,0.009681,0.020592
HYP-BZ-RAW-001,listing_open_v1,14,603388,12,-1.306745,-0.108895,0.009155,0.019472
HYP-BZ-RAW-001,listing_open_v1,15,600462,7,-1.289516,-0.184217,0.009034,0.019215
HYP-BZ-RAW-001,listing_open_v1,16,605081,13,-1.200695,-0.092361,0.008412,0.017891
HYP-BZ-RAW-001,listing_open_v1,17,600777,15,1.196204,0.079747,0.00838,-0.017824
HYP-BZ-RAW-001,listing_open_v1,18,300108,8,1.182103,0.147763,0.008282,-0.017614
HYP-BZ-RAW-001,listing_open_v1,19,300799,6,-1.163428,-0.193905,0.008151,0.017336
HYP-BZ-RAW-001,listing_open_v1,20,002781,2,-1.162071,-0.581036,0.008141,0.017316
HYP-BZ-RAW-001,listing_close_v1,1,300280,10,-2.879456,-0.287946,0.020755,0.044633
HYP-BZ-RAW-001,listing_close_v1,2,300344,13,1.984555,0.152658,0.014305,-0.030762
HYP-BZ-RAW-001,listing_close_v1,3,600421,13,-1.878725,-0.144517,0.013542,0.029121
HYP-BZ-RAW-001,listing_close_v1,4,300282,5,-1.737696,-0.347539,0.012526,0.026935
HYP-BZ-RAW-001,listing_close_v1,5,600766,6,-1.710312,-0.285052,0.012328,0.026511
HYP-BZ-RAW-001,listing_close_v1,6,688287,14,-1.662609,-0.118758,0.011984,0.025771
HYP-BZ-RAW-001,listing_close_v1,7,002087,6,-1.477353,-0.246225,0.010649,0.0229
HYP-BZ-RAW-001,listing_close_v1,8,002336,10,-1.453587,-0.145359,0.010478,0.022531
HYP-BZ-RAW-001,listing_close_v1,9,603133,6,-1.405002,-0.234167,0.010127,0.021778
HYP-BZ-RAW-001,listing_close_v1,10,600599,14,-1.387514,-0.099108,0.010001,0.021507
HYP-BZ-RAW-001,listing_close_v1,11,600804,7,-1.381908,-0.197415,0.009961,0.02142
HYP-BZ-RAW-001,listing_close_v1,12,603388,12,-1.306745,-0.108895,0.009419,0.020255
HYP-BZ-RAW-001,listing_close_v1,13,300630,8,-1.289533,-0.161192,0.009295,0.019988
HYP-BZ-RAW-001,listing_close_v1,14,600462,6,-1.22809,-0.204682,0.008852,0.019036
HYP-BZ-RAW-001,listing_close_v1,15,605081,12,-1.215549,-0.101296,0.008762,0.018842
HYP-BZ-RAW-001,listing_close_v1,16,600777,15,1.196204,0.079747,0.008622,-0.018542
HYP-BZ-RAW-001,listing_close_v1,17,002781,2,-1.162071,-0.581036,0.008376,0.018013
HYP-BZ-RAW-001,listing_close_v1,18,300068,15,-1.144013,-0.076268,0.008246,0.017733
HYP-BZ-RAW-001,listing_close_v1,19,300742,6,-1.118161,-0.18636,0.00806,0.017332
HYP-BZ-RAW-001,listing_close_v1,20,002417,2,-1.10997,-0.554985,0.008001,0.017205
HYP-BZ-RAW-001,ipo_approx_v1,1,300280,9,-2.308865,-0.256541,0.016539,0.035581
HYP-BZ-RAW-001,ipo_approx_v1,2,300344,13,1.984555,0.152658,0.014216,-0.030583
HYP-BZ-RAW-001,ipo_approx_v1,3,600421,14,-1.833748,-0.130982,0.013136,0.028259
HYP-BZ-RAW-001,ipo_approx_v1,4,600766,5,-1.652041,-0.330408,0.011834,0.025459
HYP-BZ-RAW-001,ipo_approx_v1,5,002087,6,-1.477353,-0.246225,0.010583,0.022767
HYP-BZ-RAW-001,ipo_approx_v1,6,600696,13,-1.453948,-0.111842,0.010415,0.022406
HYP-BZ-RAW-001,ipo_approx_v1,7,002336,10,-1.453587,-0.145359,0.010413,0.0224
HYP-BZ-RAW-001,ipo_approx_v1,8,600599,14,-1.387514,-0.099108,0.009939,0.021382
HYP-BZ-RAW-001,ipo_approx_v1,9,605081,14,-1.326575,-0.094755,0.009503,0.020443
HYP-BZ-RAW-001,ipo_approx_v1,10,600804,10,-1.290497,-0.12905,0.009244,0.019887
HYP-BZ-RAW-001,ipo_approx_v1,11,600462,10,-1.23872,-0.123872,0.008873,0.019089
HYP-BZ-RAW-001,ipo_approx_v1,12,600777,14,1.223102,0.087364,0.008761,-0.018848
HYP-BZ-RAW-001,ipo_approx_v1,13,002781,2,-1.162071,-0.581036,0.008324,0.017908
HYP-BZ-RAW-001,ipo_approx_v1,14,300029,12,-1.159152,-0.096596,0.008303,0.017863
HYP-BZ-RAW-001,ipo_approx_v1,15,300068,15,-1.144013,-0.076268,0.008195,0.01763
HYP-BZ-RAW-001,ipo_approx_v1,16,600387,10,-1.118968,-0.111897,0.008016,0.017244
HYP-BZ-RAW-001,ipo_approx_v1,17,002417,2,-1.10997,-0.554985,0.007951,0.017105
HYP-BZ-RAW-001,ipo_approx_v1,18,600811,8,1.064102,0.133013,0.007623,-0.016398
HYP-BZ-RAW-001,ipo_approx_v1,19,300208,10,-1.051427,-0.105143,0.007532,0.016203
HYP-BZ-RAW-001,ipo_approx_v1,20,300392,2,-1.045515,-0.522757,0.007489,0.016112
HYP-BZ-CAL-001,listing_open_v1,1,300344,5,1.751977,0.350395,0.036614,-0.134151
HYP-BZ-CAL-001,listing_open_v1,2,600766,4,-1.559133,-0.389783,0.032583,0.119385
HYP-BZ-CAL-001,listing_open_v1,3,002808,8,1.419462,0.177433,0.029665,-0.10869
HYP-BZ-CAL-001,listing_open_v1,4,300029,8,-1.197175,-0.149647,0.025019,0.091669
HYP-BZ-CAL-001,listing_open_v1,5,300742,3,-1.147772,-0.382591,0.023987,0.087886
HYP-BZ-CAL-001,listing_open_v1,6,002751,2,-0.994562,-0.497281,0.020785,0.076155
HYP-BZ-CAL-001,listing_open_v1,7,688287,5,-0.983465,-0.196693,0.020553,0.075305
HYP-BZ-CAL-001,listing_open_v1,8,603388,9,-0.977124,-0.108569,0.02042,0.07482
HYP-BZ-CAL-001,listing_open_v1,9,000606,2,-0.911511,-0.455756,0.019049,0.069796
HYP-BZ-CAL-001,listing_open_v1,10,300391,5,-0.860133,-0.172027,0.017975,0.065861
HYP-BZ-CAL-001,listing_open_v1,11,600819,11,0.800743,0.072795,0.016734,-0.061314
HYP-BZ-CAL-001,listing_open_v1,12,600306,5,-0.772959,-0.154592,0.016154,0.059186
HYP-BZ-CAL-001,listing_open_v1,13,000976,3,-0.739272,-0.246424,0.01545,0.056607
HYP-BZ-CAL-001,listing_open_v1,14,000023,5,-0.729067,-0.145813,0.015236,0.055826
