as_of,horizon,stock_count,hit_count,hit_share,cross_sectional_mean_return,cross_sectional_median_return,cross_sectional_return_std,market_return,market_excess,up_share
2010-01-01,20,222,0,0.0,-0.03665817,-0.068712,0.1951849,-0.10132495,0.06466662,0.279279
2010-04-01,20,228,14,0.061404,-0.09638105,-0.114403,0.18145237,-0.10139826,0.00501713,0.162281
2010-07-01,20,239,43,0.179916,0.16929369,0.15493,0.15590523,0.13303873,0.03625479,0.966527
2010-10-01,20,248,0,0.0,0.1239055,0.090986,0.20048993,0.14398037,-0.02007456,0.842742
2011-01-01,20,254,4,0.015748,-0.04299301,-0.0625515,0.16617312,-0.03567301,-0.00732029,0.232283
2011-04-01,20,261,3,0.011494,-0.03416566,-0.058419,0.16666822,-0.04714672,0.01298133,0.256705
2011-07-01,20,267,18,0.067416,0.00890694,-0.015072,0.10708353,-0.02801786,0.03692458,0.438202
2011-10-01,20,274,5,0.018248,0.06385346,0.0639885,0.10015857,0.06312536,0.00072791,0.80292
2012-01-01,20,279,142,0.508961,0.08345868,0.085981,0.10830927,0.09353934,-0.01008035,0.817204
2012-04-01,20,281,2,0.007117,0.06451973,0.062212,0.10733296,0.07191328,-0.00739377,0.740214
2012-07-01,20,289,9,0.031142,-0.08447781,-0.088608,0.14672025,-0.05165129,-0.03282641,0.103806
2012-10-01,20,294,185,0.629252,0.02548455,0.0168675,0.09518073,0.01232772,0.01315711,0.588435
2013-01-01,20,295,169,0.572881,0.07488939,0.050523,0.11545841,0.08294592,-0.00805676,0.779661
2013-04-01,20,294,21,0.071429,0.01018394,-0.009918,0.1366172,0.01218793,-0.00200385,0.465986
2013-07-01,20,292,44,0.150685,0.06608491,0.0259605,0.18425021,-0.01124046,0.0773255,0.636986
2013-10-01,20,292,21,0.071918,-0.01189846,-0.039491,0.15824768,-0.02573432,0.01383607,0.335616
2014-01-01,20,292,164,0.561644,0.03560292,-0.005051,0.17934127,-0.04700491,0.08260752,0.472603
2014-04-01,20,298,109,0.365772,0.00390767,-0.039676,0.19161981,-0.00044452,0.00435237,0.328859
2014-07-01,20,297,39,0.131313,0.08283019,0.056958,0.17212604,0.08060759,0.00222247,0.744108
2014-10-01,20,300,91,0.303333,0.05590772,-0.0103595,0.29063508,0.04338612,0.01252127,0.436667
2015-01-01,20,301,242,0.803987,0.19951778,0.078205,0.50955206,-0.05181679,0.25133465,0.767442
2015-04-01,20,305,234,0.767213,0.28422712,0.149149,0.59977099,0.11496325,0.16926416,0.836066
2015-07-01,20,309,37,0.119741,-0.07888422,-0.121153,0.32880743,-0.07434139,-0.0045427,0.223301
2015-10-01,20,308,34,0.11039,0.20923888,0.205732,0.22738986,0.09331072,0.11592796,0.892857
2016-01-01,20,311,44,0.141479,-0.21575361,-0.247586,0.15346274,-0.13293758,-0.08281578,0.086817
2016-04-01,20,311,20,0.064309,0.0125286,0.009403,0.13950172,-0.00098813,0.01351649,0.543408
2016-07-01,20,312,56,0.179487,0.00956169,-0.010241,0.2330618,0.01721404,-0.00765258,0.451923
2016-10-01,20,314,9,0.028662,0.02010896,0.007663,0.14251798,0.02005228,5.636e-05,0.535032
2017-01-01,20,317,84,0.264984,-0.05159446,-0.048593,0.13710531,0.01079616,-0.06239088,0.239748
2017-04-01,20,327,201,0.614679,-0.1126203,-0.107182,0.14554052,-0.01638435,-0.09623595,0.116208
2017-07-01,20,331,185,0.558912,-0.04301683,-0.026137,0.16403251,0.02417091,-0.0671874,0.36858
2017-10-01,20,335,171,0.510448,-0.06691919,-0.052705,0.15144034,0.03104807,-0.09796722,0.220896
2018-01-01,20,339,3,0.00885,-0.05820635,-0.029364,0.17646499,0.02734424,-0.08555074,0.327434
2018-04-01,20,340,10,0.029412,-0.08965292,-0.05513,0.17450687,-0.0276613,-0.06199169,0.232353
2018-07-01,20,338,34,0.100592,-0.03908857,-0.002539,0.18648386,0.0250577,-0.06414653,0.491124
2018-10-01,20,338,206,0.609467,-0.0311509,-0.025957,0.18337338,-0.00780364,-0.02334767,0.349112
