neutralization_version,object_id,hypothesis_id,engines,direction_source,logic,expected_direction,birth_model,partition,horizon,is_primary_horizon,eligible_row_count,hit_row_count,hit_share,panel_horizon,panel_sample_count,panel_mean_raw_return,panel_mean_benchmark_return,panel_mean_market_excess_return,panel_median_market_excess_return,panel_std_market_excess_return,panel_market_excess_up_rate,hit_horizon,hit_sample_count,hit_mean_raw_return,hit_mean_benchmark_return,hit_mean_market_excess_return,hit_median_market_excess_return,hit_std_market_excess_return,hit_market_excess_up_rate,pooled_hit_mean_market_excess,hit_date_mean_market_excess,hit_date_t_market_excess,non_hit_pooled_mean_market_excess,long_short_spread,long_short_spread_t,long_short_spread_dates,event_rank_ic_mean,event_rank_ic_t,event_rank_ic_dates,factor_rank_ic_mean,factor_rank_ic_t,factor_rank_ic_dates,factor_rank_ic_source,style_r2_mean,style_dates_used,style_exposure_columns,style_neutral_hit_mean,style_neutral_hit_t,style_neutral_hit_dates,style_neutral_hit_pooled_mean,controlled_hit_coefficient,controlled_hit_coefficient_t,controlled_hit_coefficient_dates,segment_available,segment_neutral_hit_mean,segment_neutral_hit_t,style_explained_share,date_count,stock_count_per_date_mean,stock_count_per_date_min,stock_count_per_date_max,cross_sectional_mean_return,market_return,market_excess_date_mean,market_excess_date_t,hit_dates_count,hit_dates_market_excess,non_hit_dates_count,non_hit_dates_market_excess,hit_vs_non_hit_date_difference,hit_vs_non_hit_date_welch_t,hit_share_slope,hit_share_slope_t,date_binary_split_usable,hit_share_median,above_median_hit_share_date_excess,below_median_hit_share_date_excess,median_split_date_difference,median_split_welch_t,event_rows_vs_dates
phase3e-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,ipo_approx_v1,TRAIN,5,False,10646,10266,0.964306,5,10646,0.001974,0.002504,-0.00053,-0.004597,0.12074,0.458294,5,10266,0.00183,0.002275,-0.000445,-0.004488,0.121328,0.458991,-0.00044511,0.00046696,0.066321,-0.00282451,0.00061785,0.11899,35,-0.0028926,-0.308032,35,0.00262537,0.312815,36,score_bazi,0.068239,36,"momentum_60d,momentum_120d,volatility_20d,volatility_60d,size_proxy_log_amount_20d",0.00013237,1.104886,36,0.00012557,0.00469553,0.874757,35,True,-5.457e-05,-0.438869,0.716528,36,295.72,223,341,0.00357558,0.00307033,0.00050528,0.07151,,,,,,,0.11898908,0.499992,False,0.976805,-0.00286786,0.00387841,-0.00674627,-0.472054,10266/36
phase3e-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,ipo_approx_v1,TRAIN,10,False,10641,10262,0.964383,10,10641,0.00375,0.006531,-0.002781,-0.011852,0.167252,0.432948,10,10262,0.003607,0.00628,-0.002673,-0.011749,0.168001,0.433639,-0.00267284,-0.00075367,-0.0823,-0.0057229,-0.00647051,-0.767855,35,-0.00709979,-0.694382,35,0.01072965,1.196835,36,score_bazi,0.076413,36,"momentum_60d,momentum_120d,volatility_20d,volatility_60d,size_proxy_log_amount_20d",2.058e-05,0.128407,36,2.171e-05,-0.00015407,-0.018416,35,True,-0.0002713,-1.179064,1.027306,36,295.58,222,341,0.00621333,0.00677181,-0.00055846,-0.060909,,,,,,,0.29780434,0.976384,False,0.977634,-0.00412544,0.00300853,-0.00713397,-0.384275,10262/36
phase3e-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,ipo_approx_v1,TRAIN,20,True,10632,10253,0.964353,20,10632,0.012092,0.009698,0.002394,-0.017829,0.225699,0.426354,20,10253,0.011813,0.009272,0.002541,-0.017828,0.227439,0.426509,0.00254084,0.00461944,0.388164,-0.0015779,0.00103924,0.123601,35,-0.00091205,-0.089776,35,0.01242843,1.208022,36,score_bazi,0.078692,36,"momentum_60d,momentum_120d,volatility_20d,volatility_60d,size_proxy_log_amount_20d",6.062e-05,0.239463,36,3.461e-05,0.0081444,0.900809,35,True,-0.00022577,-0.843422,0.986877,36,295.33,222,340,0.01418197,0.0094289,0.00475303,0.401233,,,,,,,0.27511621,0.694287,False,0.977634,-0.00403276,0.01353883,-0.01757159,-0.736804,10253/36
phase3e-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,ipo_approx_v1,TRAIN,60,False,10546,10171,0.964441,60,10546,0.031904,0.004889,0.027015,-0.011345,0.308267,0.470795,60,10171,0.032633,0.004403,0.028231,-0.01044,0.309108,0.473405,0.02823064,0.03097661,1.308556,-0.00594951,0.01020228,0.467797,35,0.00609344,0.542365,35,0.00740137,0.618332,36,score_bazi,0.089167,36,"momentum_60d,momentum_120d,volatility_20d,volatility_60d,size_proxy_log_amount_20d",0.00041456,0.793596,36,0.00045199,0.0176659,0.812397,35,True,9.283e-05,0.160484,0.986617,36,292.94,220,334,0.03464141,0.00382139,0.03082,1.309236,,,,,,,1.00047638,1.297207,False,0.977553,0.0463814,0.01525861,0.03112278,0.655643,10171/36
phase3e-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,ipo_approx_v1,VALIDATION,5,False,5241,5032,0.960122,5,5241,0.005379,0.012453,-0.007074,-0.001557,0.096511,0.490364,5,5032,0.005809,0.012126,-0.006317,-0.001014,0.095881,0.493839,-0.00631728,-0.00676063,-0.67784,-0.02528983,-0.00544909,-0.852959,15,-0.01331154,-0.942211,15,-0.01593096,-0.840444,16,score_bazi,0.096236,16,"momentum_60d,momentum_120d,volatility_20d,volatility_60d,size_proxy_log_amount_20d",-0.0001042,-0.408091,16,-0.00013333,-0.00667946,-1.084009,15,True,-0.00019584,-1.124231,0.984587,16,327.56,291,338,0.00582462,0.0124027,-0.00657803,-0.655404,,,,,,,0.63798343,2.996076,False,0.969223,-0.001669,-0.01148706,0.00981806,0.476341,5032/16
phase3e-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,ipo_approx_v1,VALIDATION,10,False,5231,5022,0.960046,10,5231,-0.008037,0.007498,-0.015535,-0.012141,0.131779,0.42879,10,5022,-0.008108,0.006922,-0.01503,-0.011659,0.132538,0.430904,-0.01502999,-0.01500924,-1.361947,-0.02767666,-0.010947,-1.447832,15,-0.00974872,-0.911704,15,-0.00694865,-0.485404,16,score_bazi,0.080101,16,"momentum_60d,momentum_120d,volatility_20d,volatility_60d,size_proxy_log_amount_20d",-0.00037415,-1.782437,16,-0.00038592,-0.01211815,-1.158396,15,True,-0.00045468,-2.30394,0.975072,16,326.94,291,338,-0.00782324,0.00674477,-0.01456796,-1.33038,,,,,,,0.64003661,2.636754,False,0.969182,-0.0076099,-0.02152602,0.01391613,0.622313,5022/16
phase3e-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,ipo_approx_v1,VALIDATION,20,True,5215,5007,0.960115,20,5215,-0.05227,-0.001267,-0.051002,-0.050577,0.189202,0.334036,20,5007,-0.052847,-0.002028,-0.050818,-0.04936,0.190407,0.335331,-0.05081833,-0.04946867,-2.474866,-0.05543211,-0.0263464,-2.254176,15,-0.0112241,-0.793974,15,-0.00977281,-0.52469,16,score_bazi,0.131309,16,"momentum_60d,momentum_120d,volatility_20d,volatility_60d,size_proxy_log_amount_20d",-0.00065514,-1.780641,16,-0.00067974,-0.02824619,-1.815104,15,True,-0.00076428,-2.305766,0.986756,16,325.94,290,338,-0.05056373,-0.00188724,-0.04867645,-2.452816,,,,,,,0.66944333,1.317566,False,0.969039,-0.05396665,-0.04338625,-0.0105804,-0.258147,5007/16
phase3e-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,ipo_approx_v1,VALIDATION,60,False,5054,4850,0.959636,60,5054,0.016519,0.028772,-0.012253,-0.03133,0.261804,0.421053,60,4850,0.015165,0.02755,-0.012385,-0.031614,0.263417,0.420825,-0.01238466,-0.01223848,-0.505938,-0.00912451,-0.02349804,-1.504571,15,-0.02097153,-1.752905,15,0.00581111,0.334434,16,score_bazi,0.07858,16,"momentum_60d,momentum_120d,volatility_20d,volatility_60d,size_proxy_log_amount_20d",-0.00021728,-0.349184,16,-0.00026364,-0.02078737,-1.449553,15,True,-0.00015786,-0.258756,0.982246,16,315.88,288,333,0.01580579,0.02777754,-0.01197173,-0.500604,,,,,,,0.11403227,0.17715,False,0.96874,-0.01809377,-0.00584968,-0.01224409,-0.247858,4850/16
phase3e-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,ipo_approx_v1,OOS,5,False,3348,3186,0.951613,5,3348,-0.023418,-0.014817,-0.008601,-0.010998,0.074931,0.399343,5,3186,-0.022926,-0.014633,-0.008293,-0.010856,0.074931,0.403013,-0.00829303,-0.00756884,-1.501199,-0.01466412,0.00708198,1.147329,14,0.01127168,0.811815,14,0.02031287,0.883591,15,score_bazi,0.108685,15,"momentum_60d,momentum_120d,volatility_20d,volatility_60d,size_proxy_log_amount_20d",0.00029302,1.151086,15,0.00025799,0.01159638,1.467534,14,True,0.00012666,0.540708,1.038714,15,223.2,171,295,-0.02395944,-0.01617936,-0.00777997,-1.519719,,,,,,,0.08861998,0.63767,False,0.961749,-0.01034652,-0.00553425,-0.00481227,-0.436055,3186/15
phase3e-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,ipo_approx_v1,OOS,10,False,3330,3168,0.951351,10,3330,-0.025653,-0.005701,-0.019952,-0.019922,0.108888,0.37958,10,3168,-0.02438,-0.005607,-0.018773,-0.019078,0.109269,0.386048,-0.01877305,-0.01623565,-1.687447,-0.04300102,0.01178304,1.51322,14,0.03119662,2.514716,14,0.0274958,1.269932,15,score_bazi,0.110256,15,"momentum_60d,momentum_120d,volatility_20d,volatility_60d,size_proxy_log_amount_20d",0.00052428,1.691238,15,0.00048977,0.02154208,1.959278,14,True,0.00024012,0.804873,1.032292,15,222.0,168,295,-0.02362089,-0.00700676,-0.01661423,-1.712587,,,,,,,0.51789675,2.307865,False,0.961749,-0.01266869,-0.02006658,0.00739789,0.37626,3168/15
