family_id,alpha,mt_version,family_test_count,hypothesis_id,object_id,birth_model,raw_p_value,p_value_test,bonferroni_threshold,bonferroni_pass,fdr_q_value,fdr_pass,gate_v1_status,gate_v2_status
bazi,0.05,mt-v1,6,HYP-BZ-RAW-001,bazi_raw,ipo_approx_v1,0.31193761,date_stratified_permutation_one_sided,0.008333333333333333,False,0.36772645,False,INVALID_CONTROL,INVALID_CONTROL
bazi,0.05,mt-v1,6,HYP-BZ-RAW-001,bazi_raw,listing_close_v1,0.13197361,date_stratified_permutation_one_sided,0.008333333333333333,False,0.26394722,False,INCONCLUSIVE,WEAK_EVIDENCE
bazi,0.05,mt-v1,6,HYP-BZ-RAW-001,bazi_raw,listing_open_v1,0.31193761,date_stratified_permutation_one_sided,0.008333333333333333,False,0.36772645,False,INVALID_CONTROL,INVALID_CONTROL
bazi,0.05,mt-v1,6,HYP-BZ-CAL-001,bazi_calibrated,ipo_approx_v1,0.07178564,date_stratified_permutation_one_sided,0.008333333333333333,False,0.26394722,False,WEAK_EVIDENCE,WEAK_EVIDENCE
bazi,0.05,mt-v1,6,HYP-BZ-CAL-001,bazi_calibrated,listing_close_v1,0.36772645,date_stratified_permutation_one_sided,0.008333333333333333,False,0.36772645,False,INCONCLUSIVE,INCONCLUSIVE
bazi,0.05,mt-v1,6,HYP-BZ-CAL-001,bazi_calibrated,listing_open_v1,0.09058188,date_stratified_permutation_one_sided,0.008333333333333333,False,0.26394722,False,INCONCLUSIVE,WEAK_EVIDENCE
ziwei,0.05,mt-v1,6,HYP-ZW-RAW-001,ziwei_raw,ipo_approx_v1,0.17576485,date_stratified_permutation_one_sided,0.008333333333333333,False,0.57180564,False,WEAK_EVIDENCE,WEAK_EVIDENCE
ziwei,0.05,mt-v1,6,HYP-ZW-RAW-001,ziwei_raw,listing_close_v1,0.43531294,date_stratified_permutation_one_sided,0.008333333333333333,False,0.57180564,False,INCONCLUSIVE,INCONCLUSIVE
ziwei,0.05,mt-v1,6,HYP-ZW-RAW-001,ziwei_raw,listing_open_v1,0.30613877,date_stratified_permutation_one_sided,0.008333333333333333,False,0.57180564,False,INCONCLUSIVE,INCONCLUSIVE
ziwei,0.05,mt-v1,6,HYP-ZW-CAL-001,ziwei_calibrated,ipo_approx_v1,0.4765047,date_stratified_permutation_one_sided,0.008333333333333333,False,0.57180564,False,WEAK_EVIDENCE,WEAK_EVIDENCE
ziwei,0.05,mt-v1,6,HYP-ZW-CAL-001,ziwei_calibrated,listing_close_v1,0.61667666,date_stratified_permutation_one_sided,0.008333333333333333,False,0.61667666,False,INCONCLUSIVE,INCONCLUSIVE
ziwei,0.05,mt-v1,6,HYP-ZW-CAL-001,ziwei_calibrated,listing_open_v1,0.30213957,date_stratified_permutation_one_sided,0.008333333333333333,False,0.57180564,False,INCONCLUSIVE,INCONCLUSIVE
huangli,0.05,mt-v1,6,HYP-HL-RAW-001,huangli_raw,ipo_approx_v1,0.1059788,date_stratified_permutation_one_sided,0.008333333333333333,False,0.2119576,False,INCONCLUSIVE,WEAK_EVIDENCE
huangli,0.05,mt-v1,6,HYP-HL-RAW-001,huangli_raw,listing_close_v1,0.81163767,date_stratified_permutation_one_sided,0.008333333333333333,False,0.81163767,False,INCONCLUSIVE,INCONCLUSIVE
huangli,0.05,mt-v1,6,HYP-HL-RAW-001,huangli_raw,listing_open_v1,0.29234153,date_stratified_permutation_one_sided,0.008333333333333333,False,0.438512295,False,INCONCLUSIVE,WEAK_EVIDENCE
huangli,0.05,mt-v1,6,HYP-HL-CAL-001,huangli_calibrated,ipo_approx_v1,0.45170966,date_stratified_permutation_one_sided,0.008333333333333333,False,0.542051592,False,INCONCLUSIVE,WEAK_EVIDENCE
huangli,0.05,mt-v1,6,HYP-HL-CAL-001,huangli_calibrated,listing_close_v1,0.03939212,date_stratified_permutation_one_sided,0.008333333333333333,False,0.13737252,False,INCONCLUSIVE,INCONCLUSIVE
huangli,0.05,mt-v1,6,HYP-HL-CAL-001,huangli_calibrated,listing_open_v1,0.04579084,date_stratified_permutation_one_sided,0.008333333333333333,False,0.13737252,False,INCONCLUSIVE,INCONCLUSIVE
consensus,0.05,mt-v1,24,HYP-CON-BZ-ZW-RAW-001,bazi_ziwei_raw,ipo_approx_v1,0.20715857,date_stratified_permutation_one_sided,0.0020833333333333333,False,0.376884624,False,WEAK_EVIDENCE,WEAK_EVIDENCE
consensus,0.05,mt-v1,24,HYP-CON-BZ-ZW-RAW-001,bazi_ziwei_raw,listing_close_v1,0.4295141,date_stratified_permutation_one_sided,0.0020833333333333333,False,0.4908732571,False,INCONCLUSIVE,INCONCLUSIVE
consensus,0.05,mt-v1,24,HYP-CON-BZ-ZW-RAW-001,bazi_ziwei_raw,listing_open_v1,0.34513097,date_stratified_permutation_one_sided,0.0020833333333333333,False,0.4601746267,False,INCONCLUSIVE,INCONCLUSIVE
consensus,0.05,mt-v1,24,HYP-CON-BZ-ZW-CAL-001,bazi_ziwei_calibrated,ipo_approx_v1,0.0069986,date_stratified_permutation_one_sided,0.0020833333333333333,False,0.0959808,False,INCONCLUSIVE,INCONCLUSIVE
consensus,0.05,mt-v1,24,HYP-CON-BZ-ZW-CAL-001,bazi_ziwei_calibrated,listing_close_v1,0.55328934,date_stratified_permutation_one_sided,0.0020833333333333333,False,0.5773453983,False,INCONCLUSIVE,INCONCLUSIVE
consensus,0.05,mt-v1,24,HYP-CON-BZ-ZW-CAL-001,bazi_ziwei_calibrated,listing_open_v1,0.4245151,date_stratified_permutation_one_sided,0.0020833333333333333,False,0.4908732571,False,NO_SIGNAL,INCONCLUSIVE
consensus,0.05,mt-v1,24,HYP-CON-BZ-HL-RAW-001,bazi_huangli_raw,ipo_approx_v1,0.06618676,date_stratified_permutation_one_sided,0.0020833333333333333,False,0.1764980267,False,INCONCLUSIVE,WEAK_EVIDENCE
consensus,0.05,mt-v1,24,HYP-CON-BZ-HL-RAW-001,bazi_huangli_raw,listing_close_v1,0.78564287,date_stratified_permutation_one_sided,0.0020833333333333333,False,0.78564287,False,INCONCLUSIVE,INCONCLUSIVE
consensus,0.05,mt-v1,24,HYP-CON-BZ-HL-RAW-001,bazi_huangli_raw,listing_open_v1,0.34493101,date_stratified_permutation_one_sided,0.0020833333333333333,False,0.4601746267,False,INCONCLUSIVE,WEAK_EVIDENCE
consensus,0.05,mt-v1,24,HYP-CON-BZ-HL-CAL-001,bazi_huangli_calibrated,ipo_approx_v1,0.0239952,date_stratified_permutation_one_sided,0.0020833333333333333,False,0.0959808,False,INCONCLUSIVE,INCONCLUSIVE
consensus,0.05,mt-v1,24,HYP-CON-BZ-HL-CAL-001,bazi_huangli_calibrated,listing_close_v1,0.05938812,date_stratified_permutation_one_sided,0.0020833333333333333,False,0.1764980267,False,INCONCLUSIVE,INCONCLUSIVE
consensus,0.05,mt-v1,24,HYP-CON-BZ-HL-CAL-001,bazi_huangli_calibrated,listing_open_v1,0.114977,date_stratified_permutation_one_sided,0.0020833333333333333,False,0.229954,False,INCONCLUSIVE,INCONCLUSIVE
consensus,0.05,mt-v1,24,HYP-CON-ZW-HL-RAW-001,ziwei_huangli_raw,ipo_approx_v1,0.014997,date_stratified_permutation_one_sided,0.0020833333333333333,False,0.0959808,False,INCONCLUSIVE,INCONCLUSIVE
consensus,0.05,mt-v1,24,HYP-CON-ZW-HL-RAW-001,ziwei_huangli_raw,listing_close_v1,0.39332134,date_stratified_permutation_one_sided,0.0020833333333333333,False,0.4908732571,False,INCONCLUSIVE,WEAK_EVIDENCE
consensus,0.05,mt-v1,24,HYP-CON-ZW-HL-RAW-001,ziwei_huangli_raw,listing_open_v1,0.23555289,date_stratified_permutation_one_sided,0.0020833333333333333,False,0.376884624,False,INCONCLUSIVE,WEAK_EVIDENCE
consensus,0.05,mt-v1,24,HYP-CON-ZW-HL-CAL-001,ziwei_huangli_calibrated,ipo_approx_v1,0.45410918,date_stratified_permutation_one_sided,0.0020833333333333333,False,0.4953918327,False,INCONCLUSIVE,WEAK_EVIDENCE
consensus,0.05,mt-v1,24,HYP-CON-ZW-HL-CAL-001,ziwei_huangli_calibrated,listing_close_v1,0.10137972,date_stratified_permutation_one_sided,0.0020833333333333333,False,0.229954,False,INCONCLUSIVE,WEAK_EVIDENCE
consensus,0.05,mt-v1,24,HYP-CON-ZW-HL-CAL-001,ziwei_huangli_calibrated,listing_open_v1,0.01679664,date_stratified_permutation_one_sided,0.0020833333333333333,False,0.0959808,False,INCONCLUSIVE,INCONCLUSIVE
consensus,0.05,mt-v1,24,HYP-CON-ALL3-RAW-001,all_three_raw,ipo_approx_v1,0.01119776,date_stratified_permutation_one_sided,0.0020833333333333333,False,0.0959808,False,INCONCLUSIVE,INCONCLUSIVE
consensus,0.05,mt-v1,24,HYP-CON-ALL3-RAW-001,all_three_raw,listing_close_v1,0.29534093,date_stratified_permutation_one_sided,0.0020833333333333333,False,0.443011395,False,INCONCLUSIVE,WEAK_EVIDENCE
consensus,0.05,mt-v1,24,HYP-CON-ALL3-RAW-001,all_three_raw,listing_open_v1,0.22975405,date_stratified_permutation_one_sided,0.0020833333333333333,False,0.376884624,False,INCONCLUSIVE,WEAK_EVIDENCE
consensus,0.05,mt-v1,24,HYP-CON-ALL3-CAL-001,all_three_calibrated,ipo_approx_v1,0.02359528,date_stratified_permutation_one_sided,0.0020833333333333333,False,0.0959808,False,INSUFFICIENT_SAMPLE,INSUFFICIENT_SAMPLE
consensus,0.05,mt-v1,24,HYP-CON-ALL3-CAL-001,all_three_calibrated,listing_close_v1,0.04619076,date_stratified_permutation_one_sided,0.0020833333333333333,False,0.15836832,False,INSUFFICIENT_SAMPLE,INSUFFICIENT_SAMPLE
consensus,0.05,mt-v1,24,HYP-CON-ALL3-CAL-001,all_three_calibrated,listing_open_v1,0.11117776,date_stratified_permutation_one_sided,0.0020833333333333333,False,0.229954,False,INSUFFICIENT_SAMPLE,INSUFFICIENT_SAMPLE
conflict,0.05,mt-v1,12,HYP-CFL-BZ-POS-ZW-NEG-CAL-001,conflict_bazi_pos_ziwei_neg,ipo_approx_v1,0.24715057,date_stratified_permutation_two_sided,0.004166666666666667,False,0.691061784,False,EXPLORATORY_NOT_GATED,EXPLORATORY_NOT_GATED
