case_id,field,production_value,reference_value,same_or_different,classification,possible_reason,school_convention,resolved,gender_binding
C01-1940s-forward,five_elements_class,土五局,土五局,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,soul_palace,8,8,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,body_palace,6,6,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,destiny_master,禄存,廉贞,different,DIFFERENT_SUSPECTED_IMP_BUG,参考实现以**生年地支**索引命主表；命主的标准定义是以**命宫地支**查表（身主才是以生年支查表）。这是参考实现的疑似实现问题，不是流派差异；本条不影响生产引擎（iztro 按标准口径给出命主）。,,False,gender_independent
C01-1940s-forward,body_master,文昌,文昌,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,palace_branch.命宫,8,8,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,palace_branch.兄弟,7,7,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,palace_branch.夫妻,6,6,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,palace_branch.子女,5,5,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,palace_branch.财帛,4,4,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,palace_branch.疾厄,3,3,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,palace_branch.迁移,2,2,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,palace_branch.仆役,1,1,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,palace_branch.官禄,0,0,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,palace_branch.田宅,11,11,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,palace_branch.福德,10,10,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,palace_branch.父母,9,9,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,palace_stem.命宫,丙,丙,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,palace_stem.兄弟,乙,乙,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,palace_stem.夫妻,甲,甲,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,palace_stem.子女,癸,癸,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,palace_stem.财帛,壬,壬,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,palace_stem.疾厄,辛,辛,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,palace_stem.迁移,庚,庚,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,palace_stem.仆役,己,己,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,palace_stem.官禄,戊,戊,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,palace_stem.田宅,己,己,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,palace_stem.福德,戊,戊,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,palace_stem.父母,丁,丁,same,IDENTICAL,,,True,gender_independent
