neutralization_version,object_id,hypothesis_id,engines,direction_source,logic,expected_direction,birth_model,partition,horizon,is_primary_horizon,eligible_row_count,hit_row_count,hit_share,panel_horizon,panel_sample_count,panel_mean_raw_return,panel_mean_benchmark_return,panel_mean_market_excess_return,panel_median_market_excess_return,panel_std_market_excess_return,panel_market_excess_up_rate,hit_horizon,hit_sample_count,hit_mean_raw_return,hit_mean_benchmark_return,hit_mean_market_excess_return,hit_median_market_excess_return,hit_std_market_excess_return,hit_market_excess_up_rate,pooled_hit_mean_market_excess,hit_date_mean_market_excess,hit_date_t_market_excess,non_hit_pooled_mean_market_excess,long_short_spread,long_short_spread_t,long_short_spread_dates,event_rank_ic_mean,event_rank_ic_t,event_rank_ic_dates,factor_rank_ic_mean,factor_rank_ic_t,factor_rank_ic_dates,factor_rank_ic_source,style_r2_mean,style_dates_used,style_exposure_columns,style_neutral_hit_mean,style_neutral_hit_t,style_neutral_hit_dates,style_neutral_hit_pooled_mean,controlled_hit_coefficient,controlled_hit_coefficient_t,controlled_hit_coefficient_dates,segment_available,segment_neutral_hit_mean,segment_neutral_hit_t,style_explained_share,date_count,stock_count_per_date_mean,stock_count_per_date_min,stock_count_per_date_max,cross_sectional_mean_return,market_return,market_excess_date_mean,market_excess_date_t,hit_dates_count,hit_dates_market_excess,non_hit_dates_count,non_hit_dates_market_excess,hit_vs_non_hit_date_difference,hit_vs_non_hit_date_welch_t,hit_share_slope,hit_share_slope_t,date_binary_split_usable,hit_share_median,above_median_hit_share_date_excess,below_median_hit_share_date_excess,median_split_date_difference,median_split_welch_t,event_rows_vs_dates
phase4-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,listing_open_v1,TRAIN,5,False,94589,90931,0.961327,5,94589,-0.000505,0.001646,-0.002151,-0.005496,0.097879,0.446151,5,90931,-0.000818,0.001388,-0.002207,-0.005429,0.098308,0.447251,-0.00220671,-0.00086655,-0.135889,-0.00077217,-0.00120174,-0.441747,36,0.00271952,0.759612,36,0.00169438,0.469795,36,score_bazi,0.076544,36,"size_log_market_cap,value_ep,value_bp,momentum_60d,momentum_120d,volatility_20d,volatility_60d,turnover_free_20d",7.72e-05,1.323752,36,6.204e-05,0.00199702,0.672664,36,True,1.485e-05,0.271477,1.089089,36,2627.47,1693,3550,0.00181784,0.00268268,-0.00086482,-0.136126,,,,,,,-0.08385178,-0.366986,False,0.969259,-0.00507465,0.00334502,-0.00841967,-0.657246,90931/36
phase4-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,listing_open_v1,TRAIN,10,False,94584,90926,0.961325,10,94584,0.002044,0.005655,-0.003611,-0.012516,0.137527,0.422809,10,90926,0.001938,0.005422,-0.003483,-0.012396,0.137749,0.42396,-0.00348333,-0.00045537,-0.061372,-0.00678902,-0.00090316,-0.35439,36,0.00038484,0.122629,36,0.00145646,0.396959,36,score_bazi,0.085572,36,"size_log_market_cap,value_ep,value_bp,momentum_60d,momentum_120d,volatility_20d,volatility_60d,turnover_free_20d",0.00014276,2.302178,36,0.00013988,0.00319085,1.036215,36,True,2.193e-05,0.310144,1.313503,36,2627.33,1692,3550,0.00574889,0.00621089,-0.00046197,-0.062175,,,,,,,0.11924655,0.446676,False,0.969259,-0.00185162,0.00092767,-0.00277929,-0.184426,90926/36
phase4-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,listing_open_v1,TRAIN,20,True,94575,90917,0.961322,20,94575,0.011339,0.009284,0.002055,-0.018477,0.194598,0.417076,20,90917,0.011264,0.008866,0.002398,-0.018207,0.195559,0.418228,0.00239821,0.00565153,0.644194,-0.00646464,0.00368759,0.855925,36,0.00159596,0.493086,36,-0.00288711,-0.840217,36,score_bazi,0.082658,36,"size_log_market_cap,value_ep,value_bp,momentum_60d,momentum_120d,volatility_20d,volatility_60d,turnover_free_20d",0.0001531,2.007655,36,0.00014737,0.00342548,0.668204,36,True,6.177e-05,0.717413,0.97291,36,2627.08,1692,3550,0.01479726,0.00922206,0.00557515,0.635152,,,,,,,0.27745962,0.887441,False,0.969259,0.01056849,0.00058181,0.00998667,0.563293,90917/36
phase4-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,listing_open_v1,TRAIN,60,False,94489,90833,0.961308,60,94489,0.025117,0.002769,0.022348,-0.009776,0.277141,0.47451,60,90833,0.025863,0.002141,0.023723,-0.0089,0.277774,0.476985,0.02372252,0.02905225,1.417443,-0.01179474,0.01299538,2.231123,36,0.00765822,2.44177,36,0.00297045,0.738898,36,score_bazi,0.09273,36,"size_log_market_cap,value_ep,value_bp,momentum_60d,momentum_120d,volatility_20d,volatility_60d,turnover_free_20d",0.0003968,2.257142,36,0.00038655,0.01080172,2.198268,36,True,0.00026254,1.722298,0.986342,36,2624.69,1690,3544,0.03153259,0.00276157,0.028771,1.402881,,,,,,,1.21215529,1.710791,False,0.969212,0.06323516,-0.00569316,0.06892831,1.727456,90833/36
phase4-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,listing_open_v1,VALIDATION,5,False,67196,64410,0.958539,5,67196,0.013347,0.011146,0.002201,-0.000148,0.081434,0.498809,5,64410,0.013969,0.010957,0.003012,0.000303,0.080345,0.502795,0.00301193,0.0015612,0.194345,-0.01654653,-0.00088565,-0.279299,16,0.00424946,0.984919,16,0.00698091,1.52496,16,score_bazi,0.108664,16,"size_log_market_cap,value_ep,value_bp,momentum_60d,momentum_120d,volatility_20d,volatility_60d,turnover_free_20d",5.724e-05,0.808888,16,5.097e-05,-0.00105874,-0.364494,16,True,-2.538e-05,-0.262556,0.963336,16,4199.75,3566,5051,0.0142475,0.01269035,0.0015572,0.193142,,,,,,,0.61995567,3.550319,False,0.963831,0.00709103,-0.00397662,0.01106765,0.67376,64410/16
phase4-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,listing_open_v1,VALIDATION,10,False,67186,64400,0.958533,10,67186,0.010509,0.004034,0.006476,-0.003339,0.126955,0.477719,10,64400,0.010952,0.003657,0.007295,-0.002844,0.126534,0.481118,0.00729526,0.00507555,0.555838,-0.0124729,-0.00239213,-0.566593,16,0.00218197,0.478048,16,0.00960636,2.19333,16,score_bazi,0.079762,16,"size_log_market_cap,value_ep,value_bp,momentum_60d,momentum_120d,volatility_20d,volatility_60d,turnover_free_20d",5.802e-05,0.640362,16,5.049e-05,-0.00130507,-0.412652,16,True,-6.509e-05,-0.461756,0.988569,16,4199.12,3566,5051,0.01191377,0.00680484,0.00510899,0.55855,,,,,,,0.64532896,3.048605,False,0.963819,0.01169785,-0.00147986,0.0131777,0.708271,64400/16
phase4-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,listing_open_v1,VALIDATION,20,True,67166,64380,0.958521,20,67166,-0.010175,-0.00534,-0.004835,-0.025515,0.168036,0.408495,20,64380,-0.009752,-0.005822,-0.003931,-0.024751,0.167968,0.410795,-0.00393068,-0.00858612,-0.580759,-0.02573454,-0.00108992,-0.193449,16,0.00330879,0.745884,16,0.00409334,0.689685,16,score_bazi,0.089255,16,"size_log_market_cap,value_ep,value_bp,momentum_60d,momentum_120d,volatility_20d,volatility_60d,turnover_free_20d",0.00010128,0.616272,16,0.00010459,-0.00331763,-0.478564,16,True,-4.6e-06,-0.027953,1.011796,16,4197.88,3566,5050,-0.01060147,-0.00197142,-0.00863001,-0.585296,,,,,,,0.65797408,1.630635,False,0.963801,-0.00617793,-0.0110821,0.00490416,0.160812,64380/16
phase4-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,listing_open_v1,VALIDATION,60,False,67005,64230,0.958585,60,67005,0.040583,0.021223,0.01936,-0.014406,0.337917,0.459264,60,64230,0.040621,0.020893,0.019728,-0.014263,0.341441,0.459645,0.01972799,0.01654292,1.027315,0.01083603,0.00041026,0.090682,16,0.00174009,0.592691,16,0.00934621,2.205772,16,score_bazi,0.070471,16,"size_log_market_cap,value_ep,value_bp,momentum_60d,momentum_120d,volatility_20d,volatility_60d,turnover_free_20d",2.848e-05,0.172147,16,4.427e-05,-0.00383051,-0.414821,16,True,2.581e-05,0.138748,0.998278,16,4187.81,3561,5050,0.04433286,0.02781711,0.01651577,1.023366,,,,,,,0.25203353,0.525857,False,0.963719,0.00531688,0.02771467,-0.02239778,-0.681413,64230/16
phase4-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,listing_open_v1,OOS,5,False,82619,78029,0.944444,5,82619,-0.021321,-0.01662,-0.004701,-0.007908,0.068439,0.422881,5,78029,-0.021114,-0.016548,-0.004566,-0.007788,0.068663,0.424137,-0.00456565,-0.00461361,-0.986609,-0.0069953,0.00126432,0.971474,15,0.00313265,1.212065,15,0.0001146,0.028515,15,score_bazi,0.124065,15,"size_log_market_cap,value_ep,value_bp,momentum_60d,momentum_120d,volatility_20d,volatility_60d,turnover_free_20d",1.706e-05,0.289757,15,1.518e-05,0.0015296,1.127855,15,True,1.081e-05,0.270079,1.003698,15,5507.93,5223,5659,-0.02092922,-0.01629265,-0.00463647,-0.992036,,,,,,,0.07587532,0.600432,False,0.951376,-0.00404257,-0.00515613,0.00111357,0.107944,78029/15
phase4-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,listing_open_v1,OOS,10,False,82588,77999,0.944435,10,82588,-0.016537,-0.007839,-0.008698,-0.012625,0.094451,0.412348,10,77999,-0.016046,-0.007848,-0.008198,-0.012138,0.093894,0.415403,-0.00819828,-0.00872418,-1.148134,-0.01719769,0.00073529,0.361837,15,0.00459911,1.482583,15,-0.00081306,-0.259928,15,score_bazi,0.128695,15,"size_log_market_cap,value_ep,value_bp,momentum_60d,momentum_120d,volatility_20d,volatility_60d,turnover_free_20d",-7.406e-05,-0.803117,15,-7.418e-05,-4.893e-05,-0.023638,15,True,-3.057e-05,-0.339614,0.991511,15,5505.87,5223,5657,-0.0162261,-0.00748749,-0.00873872,-1.148738,,,,,,,0.31972509,1.694662,False,0.951376,-0.00266261,-0.01405531,0.0113927,0.727896,77999/15
